178
[(113, 8, 3), (113, 35, 0), (114, 16, 3), (100, 10, 2), (98, 13, 2), (87, 26, 2), (116, 18, 1), (98, 24, 0), (107, 32, 1), (86, 1, 0), (86, 17, 3), (106, 2, 0), (103, 23, 3), (117, 38, 2), (94, 39, 3), (105, 17, 2), (89, 13, 1), (114, 1, 0), (101, 7, 2), (118, 23, 0)]
600 62                     -28.571666666666665 -50 -50 0.0
43100 177.57175415954057 177.52713766987313                         -50 -50 0.0
43600 177.57175415954057 177.5332675657806                         -50 -50 0.0
44100 177.57175415954057 177.53746733042303                         -50 -50 0.0
44600 177.57175415954057 177.5294311136184                         -50 -50 0.0
45100 177.57175415954057 177.51727351325323                         -50 -50 0.0
45600 177.57175415954057 177.52954870183126                         -50 -50 0.0
46100 177.57175415954057 177.5441762561786                         -50 -50 0.0
46600 177.57175415954057 177.54472076806886                         -50 -50 0.0
47100 177.57175415954057 177.54381160698284                         -50 -50 0.0
47600 177.57175415954057 177.53443559752802                         -50 -50 0.0
48100 177.57175415954057 177.54286291921264                         -50 -50 0.0
48600 177.57175415954057 177.54066797766077                         -50 -50 0.0
49100 177.57175415954057 177.5298926877108                         -50 -50 0.0
49600 177.57175415954057 177.54257756376037                         -50 -50 0.0
50100 177.57175415954057 177.55013950260252                         -50 -50 0.0
50600 177.57175415954057 177.5553694215382                         -50 -50 0.0
51100 177.57175415954057 177.55089345913507                         -50 -50 0.0
51600 177.57175415954057 177.53849512247183                         -50 -50 0.0
52100 178.0 177.53709657934868                         178 -49.62 0.0016666666666666668
52600 178.0 177.55529525667677                         178 -49.24 0.0033333333333333335
53100 178.0 177.53967224646885                         178 -48.1 0.008333333333333333
53600 178.0 177.5539356399651                         178 -45.82 0.018333333333333333
54100 178.0 177.5530861855492                         178 -41.64 0.03666666666666667
54600 178.0 177.58910155719434                         178 -34.04 0.07
55100 178.0 177.61569251525347                         178 -19.22 0.135
55600 178.0 177.6653142165476                         178 11.18 0.2683333333333333
56100 178.0 177.74793273033868                         178 64.38 0.5016666666666667
56600 178.0 177.9108023042466                         178 138.1 0.825
57100 178.0 177.95863935920772                         178 171.16 0.97
57600 178.0 178.0                         178 178 1.0
58100 178.0 177.9703788195399                         178 177.24 0.9966666666666667
58600 178.0 177.9992617748827                         178 177.62 0.9983333333333333
59100 178.0 177.99402077832016                         178 176.86 0.995
59600 178.0 177.99775559040975                         178 177.62 0.9983333333333333
60100 178.0 177.98423106014712                         178 176.86 0.995
60600 178.0 177.99314669049198                         178 177.62 0.9983333333333333
61100 178.0 177.99159221694035                         178 177.62 0.9983333333333333
61600 178.0 177.99547602185595                         178 177.24 0.9966666666666667
62100 178.0 177.99698877837514                         178 177.24 0.9966666666666667
62600 178.0 178.0                         178 178 1.0
63100 178.0 177.97974388203104                         178 177.62 0.9983333333333333
63600 178.0 177.98656240784928                         178 177.62 0.9983333333333333
64100 178.0 177.990258999503                         178 176.86 0.995
64600 178.0 177.9747752598425                         178 176.86 0.995
65100 178.0 177.99555518816896                         178 177.62 0.9983333333333333
65600 178.0 177.99710272994858                         178 177.62 0.9983333333333333
66100 178.0 177.9947929072519                         178 177.24 0.9966666666666667
66600 178.0 177.97802923795555                         178 176.86 0.995
67100 178.0 177.99469108093294                         178 177.62 0.9983333333333333
67600 178.0 177.98833333333334                         178 177.98833333333334 1.0
68100 178.0 177.99467322343844                         178 177.24 0.9966666666666667
68600 178.0 177.97558677950158                         178 176.86 0.995
69100 178.0 177.99053243899388                         178 177.62 0.9983333333333333
69600 178.0 177.99553677713396                         178 177.62 0.9983333333333333
70100 178.0 177.9927392086008                         178 177.62 0.9983333333333333
