174
[(113, 16, 3), (104, 16, 1), (138, 12, 2), (101, 7, 0), (114, 6, 0), (111, 31, 2), (137, 34, 2), (136, 10, 0), (108, 39, 1), (101, 28, 0), (105, 33, 0), (123, 7, 3), (127, 23, 0), (115, 8, 1), (136, 2, 1), (118, 21, 0), (109, 0, 1), (125, 17, 3), (102, 7, 0), (124, 20, 0)]
600 54                     -30.566666666666666 -50 -50 0.0
1100 64.80645868015381 -4.533561695749408                         -50 -50 0.0
1600 64.80645868015381 12.356648907713552                         12 -49.89666666666667 0.0016666666666666668
2100 68.97871992273532 27.051096720664354                         62 -49.81333333333333 0.0016666666666666668
2600 78.71950928670144 40.5317199313117                         62 -49.47 0.005
3100 85.74523415793638 51.71394559755411                         63 -48.73833333333334 0.011666666666666667
3600 91.4675546073307 61.24796928551944                         67 -48.50333333333333 0.013333333333333334
4100 108.23828953629496 69.07225375238453                         67 -48.68 0.011666666666666667
4600 114.66541856253488 76.6561813816877                         91 -49.16833333333334 0.006666666666666667
5100 122.08716139104145 85.20411526490295                         107 -49.041666666666664 0.006666666666666667
5600 124.30752827480701 93.58194913641111                         107 -48.75666666666667 0.008333333333333333
6100 124.30752827480701 101.01091566777399                         107 -48.99166666666667 0.006666666666666667
6600 130.3214534419872 106.68883072413952                         119 -47.87166666666667 0.013333333333333334
7100 135.77472908250067 111.12797354157254                         119 -47.82333333333333 0.013333333333333334
7600 136.02996612264164 115.0758454668239                         119 -47.52166666666667 0.015
8100 143.48064868589913 120.07326626447454                         128 -48.598333333333336 0.008333333333333333
8600 143.48064868589913 126.41019031516221                         128 -49.70333333333333 0.0016666666666666668
9100 147.9273898998465 132.16908163716724                         128 -49.70333333333333 0.0016666666666666668
9600 148.07234716451433 136.2155401507101                         -50 -50 0.0
10100 150.31817422633065 139.21800200237863                         -50 -50 0.0
10600 155.33862126108482 141.78034503988695                         -50 -50 0.0
11100 155.49132264876422 144.91658549553486                         -50 -50 0.0
11600 157.9633279374349 148.11734988228628                         -50 -50 0.0
12100 157.9633279374349 150.30159679049098                         -50 -50 0.0
12600 158.85729062217106 151.9795942968441                         -50 -50 0.0
13100 160.76606516187954 153.12726520890718                         -50 -50 0.0
13600 160.79350629664933 154.15169650280376                         -50 -50 0.0
14100 160.90098410850894 155.1925379063734                         -50 -50 0.0
14600 161.25749164234804 156.3463372408501                         -50 -50 0.0
15100 162.48691768737226 157.7238150356938                         -50 -50 0.0
15600 162.48691768737226 158.8404520463204                         -50 -50 0.0
16100 163.03629877927253 159.8537048889243                         -50 -50 0.0
16600 163.70346011468988 160.52715481007107                         -50 -50 0.0
17100 163.70543862549823 161.15389013792364                         -50 -50 0.0
17600 163.88911864407777 161.55037502702265                         -50 -50 0.0
18100 164.219946202683 161.87633816494505                         163 -49.645 0.0016666666666666668
18600 164.92905797297843 162.17727197053978                         163 -49.645 0.0016666666666666668
19100 165.56323748702857 162.47257770549606                         163 -49.645 0.0016666666666666668
19600 165.56323748702857 162.83501262464677                         163 -49.645 0.0016666666666666668
20100 165.92351732606286 163.28520812660267                         163 -49.645 0.0016666666666666668
20600 165.92351732606286 163.7055758052135                         163 -49.645 0.0016666666666666668
21100 166.63654093070974 164.16868894520394                         -50 -50 0.0
21600 167.1300430919343 164.71144014823966                         166 -49.28 0.0033333333333333335
22100 167.62599501643544 165.1815458221298                         166 -49.28 0.0033333333333333335
22600 167.62599501643544 165.6433078332113                         166 -48.92 0.005
23100 169.0 166.02044371878333                         169 -48.19166666666667 0.008333333333333333
23600 169.0 166.3810766766695                         169 -47.46 0.011666666666666667
24100 169.0 166.70947946404192                         169 -47.08833333333333 0.013333333333333334
24600 169.62307613160166 167.03256746139533                         169 -44.17666666666667 0.02666666666666667
25100 169.62307613160166 167.38051269825772                         169 -39.79666666666667 0.04666666666666667
25600 170.0 167.73688529371165                         170 -31.766666666666666 0.08333333333333333
26100 170.0 168.146187964694                         170 -21.533333333333335 0.13
26600 170.0 168.52350441251582                         170 -1.7983333333333333 0.22
27100 170.0 168.9402452629078                         170 24.563333333333333 0.34
27600 170.5874382378956 169.36376564709866                         170 53.54833333333333 0.4716666666666667
28100 171.0 169.6783647189354                         171 73.835 0.5633333333333334
28600 171.0 169.87384023077345                         171 102.16333333333333 0.6916666666666667
29100 171.0 169.9866367934214                         171 139.93833333333333 0.8633333333333333
29600 171.0 170.04684805258967                         171 147.28166666666667 0.8966666666666666
30100 171.0 170.14385827825598                         171 122.73666666666666 0.785
30600 171.59306738693692 170.29980046470723                         171 81.00333333333333 0.595
31100 171.59342408191807 170.50791612261406                         171 44.458333333333336 0.42833333333333334
31600 171.59465918302573 170.75747646348066                         171 55.68833333333333 0.47833333333333333
32100 172.0 170.93148231031307                         172 105.81833333333333 0.705
32600 172.0 171.10147004855992                         172 139.02833333333334 0.855
33100 172.0 171.2696655029029                         172 126.97833333333334 0.8
33600 172.0 171.51619841887907                         172 106.18333333333334 0.705
34100 172.11484076567456 171.80793590155864                         172 115.7 0.7466666666666667
34600 172.1386329426187 171.9568279593604                         172 154.605 0.9216666666666666
35100 172.1546861899214 171.9993524363264                         172 168.67 0.985
35600 173.0 172.00021280470963                         173 165.34166666666667 0.97
36100 173.0 172.00084988040246                         173 156.83166666666668 0.9316666666666666
36600 173.0 172.02909357314192                         173 134.26166666666666 0.83
37100 173.0 172.0458741984121                         173 88.385 0.6233333333333333
37600 173.0 172.1036335431762                         173 18.46 0.30833333333333335
38100 173.0 172.14377543276925                         173 -31.843333333333334 0.08166666666666667
38600 174.0 172.18663095093405                         174 -34.02166666666667 0.07166666666666667
39100 174.0 172.26937986664174                         174 -15.06 0.15666666666666668
39600 174.0 172.44897001160973                         174 25.086666666666666 0.33666666666666667
40100 174.0 172.73980922153225                         174 92.01166666666667 0.6366666666666667
40600 174.0 173.0240236807521                         174 148.94166666666666 0.8916666666666667
41100 174.0 173.22873811770162                         174 165.42833333333334 0.965
41600 174.0 173.46319052740836                         174 160.835 0.9433333333333334
42100 174.0 173.78602977548397                         174 158.165 0.93
42600 174.0 173.9614912044074                         174 168.76 0.9766666666666667
43100 174.0 173.9894237367557                         174 173.25333333333333 0.9966666666666667
43600 174.0 174.0                         174 174 1.0
44100 174.0 173.9931310431866                         174 173.25333333333333 0.9966666666666667
44600 174.0 173.9947002947091                         174 173.25333333333333 0.9966666666666667
45100 174.0 173.9880233687926                         174 173.25333333333333 0.9966666666666667
45600 174.0 173.97653644668412                         174 172.50666666666666 0.9933333333333333
46100 174.0 174.0                         174 174 1.0
46600 174.0 173.9907965445656                         174 172.88 0.995
47100 174.0 173.99113801513522                         174 172.88 0.995
47600 174.0 174.0                         174 174 1.0
48100 174.0 173.9992407297419                         174 173.62666666666667 0.9983333333333333
48600 174.0 173.98432506928003                         174 173.25333333333333 0.9966666666666667
49100 174.0 173.99773629816974                         174 173.62666666666667 0.9983333333333333
49600 174.0 174.0                         174 174 1.0
50100 174.0 173.99630009635675                         174 173.62666666666667 0.9983333333333333
50600 174.0 173.99256636026934                         174 172.88 0.995
51100 174.0 173.99106248848994                         174 173.25333333333333 0.9966666666666667
51600 174.0 174.0                         174 174 1.0
52100 174.0 174.0                         174 174 1.0
52600 174.0 173.98598808245816                         174 173.25333333333333 0.9966666666666667
53100 174.0 173.992550042517                         174 173.25333333333333 0.9966666666666667
53600 174.0 174.0                         174 174 1.0
54100 174.0 173.99542525340118                         174 173.25333333333333 0.9966666666666667
54600 174.0 173.99465254226257                         174 173.25333333333333 0.9966666666666667
55100 174.0 173.98742492949296                         174 172.50666666666666 0.9933333333333333
55600 174.0 173.99624731474128                         174 172.88 0.995
56100 174.0 173.98088578258418                         174 172.88 0.995
56600 174.0 173.99925794912022                         174 173.62666666666667 0.9983333333333333
57100 174.0 173.9977803469763                         174 173.25333333333333 0.9966666666666667
57600 174.0 173.9855304614333                         174 172.13333333333333 0.9916666666666667
58100 174.0 173.99009393454287                         174 173.25333333333333 0.9966666666666667
58600 174.0 173.99695674659128                         174 172.88 0.995
59100 174.0 173.99775169558725                         174 173.25333333333333 0.9966666666666667
59600 174.0 173.99772572400462                         174 173.62666666666667 0.9983333333333333
60100 174.0 173.99773136334898                         174 173.62666666666667 0.9983333333333333
60600 174.0 173.99925727399844                         174 173.62666666666667 0.9983333333333333
61100 174.0 173.9925853647089                         174 173.25333333333333 0.9966666666666667
61600 174.0 173.97530131038064                         174 173.25333333333333 0.9966666666666667
62100 174.0 173.9962644801288                         174 173.25333333333333 0.9966666666666667
62600 174.0 173.99166666666667                         174 173.99166666666667 1.0
