79
[(89, 10, 2), (63, 39, 3), (72, 19, 0), (138, 20, 3), (38, 26, 1), (147, 8, 1), (109, 2, 2), (118, 8, 1), (64, 23, 3), (156, 0, 3), (83, 12, 3), (70, 11, 3), (169, 18, 1), (75, 3, 1), (99, 37, 0), (123, 20, 1), (58, 7, 3), (49, 15, 1), (105, 24, 3), (41, 33, 1)]
5000 87                     10.7502 -50 -50 0.0
10000 103 20.6188                         10 -49.988 0.0002
15000 113 30.146                         38 -49.9686 0.0004
20000 113 39.2996                         50 -49.98 0.0002
25000 113 47.5794                         -50 -50 0.0
30000 113 54.911                         79 -49.9742 0.0002
35000 115 61.851                         79 -49.9526 0.0004
40000 122 68.0666                         79 -49.9742 0.0002
45000 123 73.7828                         79 -49.9742 0.0002
50000 124 79.1244                         79 -49.9742 0.0002
55000 125 84.039                         79 -49.9742 0.0002
60000 136 88.8092                         79 -49.9742 0.0002
65000 136 93.0056                         -50 -50 0.0
70000 136 97.3732                         -50 -50 0.0
75000 139 101.288                         -50 -50 0.0
80000 141 104.9912                         -50 -50 0.0
85000 144 108.4154                         -50 -50 0.0
90000 146 111.8346                         -50 -50 0.0
95000 148 115.1874                         -50 -50 0.0
100000 148 118.3702                         -50 -50 0.0
