173
[(105, 9, 2), (109, 25, 2), (95, 38, 1), (100, 9, 0), (98, 27, 3), (88, 1, 1), (105, 26, 1), (121, 23, 0), (96, 13, 3), (121, 13, 2), (94, 25, 1), (85, 28, 0), (97, 17, 1), (121, 26, 3), (103, 34, 3), (88, 37, 3), (105, 36, 1), (96, 0, 3), (110, 0, 3), (89, 37, 1)]
600 40.0                     -38.893 -50 -50 0.0
31600 160.8 142.34166666666667                         147 -49.67166666666667 0.0016666666666666668
32100 160.8 142.91333333333333                         147 -49.67166666666667 0.0016666666666666668
32600 160.8 143.47766666666666                         147 -49.348333333333336 0.0033333333333333335
33100 160.8 143.92566666666667                         147 -49.348333333333336 0.0033333333333333335
33600 160.8 144.55666666666667                         147 -49.348333333333336 0.0033333333333333335
34100 160.8 145.31833333333333                         147 -49.02166666666667 0.005
34600 160.8 145.599                         147 -49.02166666666667 0.005
35100 160.8 146.15433333333334                         147 -49.348333333333336 0.0033333333333333335
35600 160.8 146.54                         147 -49.348333333333336 0.0033333333333333335
36100 160.8 146.88                         147 -49.67166666666667 0.0016666666666666668
36600 160.6 147.25533333333334                         147 -49.67166666666667 0.0016666666666666668
37100 160.6 147.64133333333334                         147 -49.67166666666667 0.0016666666666666668
37600 160.6 148.329                         147 -49.67166666666667 0.0016666666666666668
38100 164.4 148.89333333333335                         147 -49.67166666666667 0.0016666666666666668
38600 164.4 149.454                         147 -49.67166666666667 0.0016666666666666668
39100 164.4 149.88466666666667                         147 -49.67166666666667 0.0016666666666666668
39600 164.4 150.30066666666667                         147 -49.67166666666667 0.0016666666666666668
40100 164.4 151.01233333333334                         -50 -50 0.0
40600 164.4 151.504                         -50 -50 0.0
41100 164.4 151.998                         -50 -50 0.0
41600 164.4 152.42333333333335                         -50 -50 0.0
42100 164.4 152.93266666666668                         -50 -50 0.0
42600 164.4 153.64566666666667                         -50 -50 0.0
43100 166.4 154.15233333333333                         -50 -50 0.0
43600 166.4 154.66533333333334                         159 -49.651666666666664 0.0016666666666666668
44100 166.4 155.23033333333333                         159 -49.651666666666664 0.0016666666666666668
44600 166.4 155.75366666666667                         159 -49.651666666666664 0.0016666666666666668
45100 166.4 156.225                         159 -49.651666666666664 0.0016666666666666668
45600 166.4 156.67133333333334                         160 -49.30166666666667 0.0033333333333333335
46100 166.4 157.08166666666668                         160 -49.30166666666667 0.0033333333333333335
46600 166.4 157.53966666666668                         160 -49.30166666666667 0.0033333333333333335
47100 166.4 157.82433333333333                         160 -49.30166666666667 0.0033333333333333335
47600 166.4 158.22166666666666                         160 -49.65 0.0016666666666666668
48100 167.4 158.62066666666666                         165 -48.93666666666667 0.005
48600 167.4 158.86833333333334                         165 -48.93666666666667 0.005
49100 167.4 159.25033333333334                         165 -48.93666666666667 0.005
49600 167.4 159.85733333333334                         165 -48.585 0.006666666666666667
50100 167.4 160.17766666666665                         165 -48.585 0.006666666666666667
50600 167.4 160.53133333333332                         165 -48.585 0.006666666666666667
51100 168.4 160.83233333333334                         165 -48.23 0.008333333333333333
51600 168.6 161.22333333333333                         165 -47.513333333333335 0.011666666666666667
52100 168.6 161.61366666666666                         165 -46.43833333333333 0.016666666666666666
52600 168.6 161.944                         165 -46.08 0.018333333333333333
53100 168.6 162.11866666666666                         165 -46.43 0.016666666666666666
53600 168.6 162.469                         165 -46.428333333333335 0.016666666666666666
54100 168.6 162.597                         166 -46.41833333333334 0.016666666666666666
54600 168.6 162.802                         166 -45.34166666666667 0.021666666666666667
55100 168.6 163.073                         166 -44.26833333333333 0.02666666666666667
55600 168.6 163.316                         166 -41.041666666666664 0.041666666666666664
56100 168.6 163.49066666666667                         166 -39.60666666666667 0.04833333333333333
56600 168.6 163.72                         166 -37.45333333333333 0.058333333333333334
57100 168.6 163.92266666666666                         166 -35.651666666666664 0.06666666666666667
