178
[(98, 19, 3), (67, 17, 2), (91, 24, 2), (81, 28, 2), (83, 1, 0), (79, 15, 2), (82, 31, 2), (77, 35, 3), (68, 9, 1), (76, 6, 0), (90, 29, 3), (92, 8, 0), (71, 31, 3), (92, 22, 0), (81, 6, 2), (98, 13, 1), (78, 19, 1), (67, 19, 0), (100, 0, 2), (68, 39, 2)]
600 41                     -30.948333333333334 -50 -50 0.0
1100 63.5441763315407 -5.683866526071318                         9 -49.901666666666664 0.0016666666666666668
1600 63.5441763315407 10.479933376734747                         25 -49.776666666666664 0.0033333333333333335
2100 89.56738519179643 24.976337956536263                         40 -49.36666666666667 0.008333333333333333
2600 95.21354496973306 36.735914192647066                         50 -49.12833333333333 0.01
3100 98.45053980851067 48.526404848967545                         74 -49.14833333333333 0.008333333333333333
3600 99.10770992338307 59.371994292123105                         74 -49.115 0.008333333333333333
4100 109.41436219941411 69.68514801468751                         74 -49.43 0.005
4600 111.61025855188551 79.68638104945525                         109 -49.30833333333333 0.005
5100 113.76647633334849 87.95936604037391                         109 -48.07833333333333 0.013333333333333334
5600 116.98019211636014 94.91933696156164                         111 -46.73 0.021666666666666667
6100 122.64797580457414 101.58871952859707                         119 -45.61 0.028333333333333332
6600 129.21598076331597 107.71382748344377                         122 -45.17666666666667 0.03
7100 131.70209843007333 113.51761427879649                         122 -45.848333333333336 0.025
7600 133.71283604003798 118.69561927046438                         126 -46.35166666666667 0.021666666666666667
8100 139.53104987490548 122.54749145722211                         130 -47.68833333333333 0.013333333333333334
8600 139.53104987490548 126.38738731914326                         130 -48.818333333333335 0.006666666666666667
9100 141.50453665286872 130.16259721583302                         141 -48.485 0.008333333333333333
9600 142.49188140585005 133.35405930195682                         141 -49.373333333333335 0.0033333333333333335
10100 143.14409157408335 135.66660985110946                         141 -49.373333333333335 0.0033333333333333335
10600 147.30420782943304 137.8383370987056                         145 -49.35666666666667 0.0033333333333333335
11100 147.30420782943304 139.70948803670777                         145 -49.35666666666667 0.0033333333333333335
11600 149.48908782407975 141.3419286032472                         145 -49.035 0.005
12100 149.48908782407975 142.77424553907588                         145 -48.71 0.006666666666666667
12600 150.76904534182717 143.89352331119585                         146 -48.70166666666667 0.006666666666666667
13100 152.0879700010896 145.09614000095638                         149 -48.038333333333334 0.01
13600 154.69300586460776 146.34464265597893                         150 -48.03 0.01
14100 156.28258886760983 147.8691728184659                         150 -48.68 0.006666666666666667
14600 158.33190204514207 149.320469573117                         150 -49.335 0.0033333333333333335
15100 158.33190204514207 150.84398487792188                         150 -49.335 0.0033333333333333335
15600 159.18112767605487 152.35246417162895                         150 -49.666666666666664 0.0016666666666666668
16100 160.06181696473493 153.61723549276886                         -50 -50 0.0
16600 161.9478322896658 154.90204228703274                         -50 -50 0.0
17100 162.74911029729802 156.11040737829248                         -50 -50 0.0
17600 163.36738999928832 157.3093644810247                         -50 -50 0.0
18100 165.27342969691975 158.5049554557638                         -50 -50 0.0
18600 165.5609067923379 159.68388434569144                         -50 -50 0.0
19100 166.2032238149517 160.87803191049443                         -50 -50 0.0
