177
[(61, 16, 1), (62, 11, 3), (94, 30, 3), (72, 6, 0), (80, 29, 3), (78, 15, 0), (84, 16, 3), (84, 13, 0), (90, 14, 0), (93, 0, 3), (76, 37, 0), (60, 32, 0), (71, 10, 1), (76, 8, 1), (87, 12, 2), (84, 32, 2), (72, 22, 0), (64, 14, 1), (79, 15, 2), (60, 22, 1)]
600 35                     -30.611666666666668 -50 -50 0.0
58600 177.0 176.99601333367477                         177 176.62166666666667 0.9983333333333333
59100 177.0 176.99396357623453                         177 176.61833333333334 0.9983333333333333
59600 177.0 176.98327911424406                         177 176.24333333333334 0.9966666666666667
60100 177.0 176.98703076048076                         177 176.24333333333334 0.9966666666666667
60600 177.0 176.99333186640266                         177 176.61833333333334 0.9983333333333333
61100 177.0 176.98889379082033                         177 175.865 0.995
61600 177.0 176.99666666666667                         177 176.99666666666667 1.0
62100 177.0 176.99595978772138                         177 176.62166666666667 0.9983333333333333
62600 177.0 176.99036881684796                         177 176.24333333333334 0.9966666666666667
63100 177.0 176.99658462276417                         177 176.62166666666667 0.9983333333333333
63600 177.0 176.99528234667437                         177 176.24333333333334 0.9966666666666667
64100 177.0 177.0                         177 177 1.0
64600 177.0 176.98080365073974                         177 175.48666666666668 0.9933333333333333
65100 177.0 176.99630703530187                         177 176.24333333333334 0.9966666666666667
65600 177.0 176.98963263384758                         177 176.62166666666667 0.9983333333333333
66100 177.0 176.9937825989793                         177 176.62166666666667 0.9983333333333333
66600 177.0 176.9979644447156                         177 176.62166666666667 0.9983333333333333
67100 177.0 176.98931086231437                         177 175.865 0.995
67600 177.0 176.99206343905962                         177 176.24333333333334 0.9966666666666667
68100 177.0 176.98279647849293                         177 176.24333333333334 0.9966666666666667
68600 177.0 176.9980313727105                         177 176.24333333333334 0.9966666666666667
69100 177.0 176.9867328230801                         177 175.48666666666668 0.9933333333333333
69600 177.0 176.9858259922354                         177 176.24333333333334 0.9966666666666667
70100 177.0 177.0                         177 177 1.0
70600 177.0 176.99389829851663                         177 176.24333333333334 0.9966666666666667
71100 177.0 176.9837583272551                         177 175.865 0.995
71600 177.0 176.9959877714847                         177 176.62166666666667 0.9983333333333333
72100 177.0 176.99321417221435                         177 176.62166666666667 0.9983333333333333
72600 177.0 176.99298785275565                         177 176.62166666666667 0.9983333333333333
73100 177.0 177.0                         177 177 1.0
73600 177.0 176.99868137711306                         177 176.62166666666667 0.9983333333333333
74100 177.0 176.9935522394496                         177 176.62166666666667 0.9983333333333333
74600 177.0 176.99426387244714                         177 175.865 0.995
75100 177.0 176.99808795748237                         177 176.62166666666667 0.9983333333333333
75600 177.0 176.99089250024707                         177 176.24333333333334 0.9966666666666667
76100 177.0 176.99803912493329                         177 176.62166666666667 0.9983333333333333
76600 177.0 176.99535092224113                         177 176.24333333333334 0.9966666666666667
77100 177.0 176.98664180872694                         177 175.865 0.995
77600 177.0 176.99268142587755                         177 176.24333333333334 0.9966666666666667
78100 177.0 177.0                         177 177 1.0
78600 177.0 176.99181625480992                         177 176.24333333333334 0.9966666666666667
79100 177.0 176.9938431558173                         177 176.24333333333334 0.9966666666666667
79600 177.0 176.99931436021456                         177 176.62166666666667 0.9983333333333333
80100 177.0 176.99048204022824                         177 176.62166666666667 0.9983333333333333
80600 177.0 176.99932769525043                         177 176.62166666666667 0.9983333333333333
81100 177.0 176.99742999932855                         177 176.24333333333334 0.9966666666666667
