179
[(128, 38, 2), (124, 24, 1), (126, 3, 0), (133, 19, 0), (118, 16, 2), (141, 15, 0), (144, 11, 1), (119, 19, 2), (114, 0, 0), (127, 27, 2), (133, 33, 1), (135, 16, 0), (115, 11, 0), (126, 7, 2), (130, 12, 3), (146, 18, 0), (114, 39, 2), (146, 30, 3), (134, 27, 1), (146, 29, 3)]
600 42                     -30.211666666666666 -50 -50 0.0
1100 46.84713116528961 -6.871340152924897                         -50 -50 0.0
1600 57.58328071510434 9.65812144965281                         40 -49.665 0.005
2100 78.05979416141102 23.892197299851986                         40 -49.475 0.006666666666666667
2600 79.748004844784 35.99705187346639                         40 -49.315 0.008333333333333333
3100 89.47743359162789 47.51867435611423                         60 -49.678333333333335 0.0033333333333333335
3600 99.32146591495318 58.767895425979184                         68 -49.43 0.005
4100 103.20641564254625 69.012855096144                         68 -49.233333333333334 0.006666666666666667
4600 108.51174841551499 78.57118693182454                         96 -49.34 0.005
5100 114.64658546239683 85.93931997343846                         112 -48.81666666666667 0.008333333333333333
5600 118.46944974979064 92.14565280546269                         112 -49.25666666666667 0.005
6100 122.36080664626806 98.13672807907388                         112 -49.21666666666667 0.005
6600 130.64172662269894 104.48521587331739                         122 -48.656666666666666 0.008333333333333333
7100 131.18197890285637 110.50872828411343                         122 -48.645 0.008333333333333333
7600 140.50013677451287 115.81410583994492                         122 -48.9 0.006666666666666667
8100 140.50013677451287 120.2516330730345                         122 -49.44 0.0033333333333333335
8600 140.50013677451287 124.30124571990021                         122 -49.71333333333333 0.0016666666666666668
9100 142.94854974602382 128.0558601251902                         -50 -50 0.0
9600 148.37732302775422 131.7986257586247                         -50 -50 0.0
10100 148.94190398330306 135.74198993462943                         139 -49.685 0.0016666666666666668
10600 149.77833023059767 138.78715059482653                         139 -49.685 0.0016666666666666668
11100 153.1411565338016 141.35210565708465                         139 -49.685 0.0016666666666666668
11600 154.04275412844237 143.90186205986575                         -50 -50 0.0
12100 158.490338044905 146.6009493681661                         -50 -50 0.0
12600 158.92767085985352 149.0145955829392                         -50 -50 0.0
13100 160.11258350954836 151.21675527797674                         -50 -50 0.0
13600 160.11258350954836 153.22044827513614                         -50 -50 0.0
14100 162.0250321339183 154.9188571280235                         -50 -50 0.0
14600 162.0250321339183 156.4188111366135                         -50 -50 0.0
15100 164.0875138543641 157.56180223982363                         -50 -50 0.0
15600 164.33963738018105 158.71354696843218                         -50 -50 0.0
16100 164.89022076953464 159.8018992175199                         -50 -50 0.0
16600 167.20014853219323 160.94502768377123                         -50 -50 0.0
17100 168.37341521430085 162.11145362229405                         -50 -50 0.0
17600 169.5248178154912 163.29287194486633                         -50 -50 0.0
18100 170.31885915200314 164.4364622471953                         -50 -50 0.0
18600 170.31885915200314 165.44534357388767                         -50 -50 0.0
19100 172.3932110621305 166.51210683279612                         -50 -50 0.0
19600 172.3932110621305 167.50200395720984                         -50 -50 0.0
20100 172.3932110621305 168.35449140934577                         -50 -50 0.0
20600 172.3932110621305 169.13250420487992                         -50 -50 0.0
21100 172.85903873046553 169.84326562407142                         -50 -50 0.0
