177
[(81, 36, 2), (87, 28, 1), (81, 38, 2), (94, 11, 2), (105, 37, 0), (78, 9, 3), (76, 15, 3), (73, 26, 2), (101, 5, 0), (99, 34, 3), (83, 14, 3), (91, 25, 0), (100, 12, 2), (72, 14, 1), (102, 0, 1), (80, 32, 3), (73, 3, 0), (105, 21, 2), (81, 21, 3), (100, 32, 2)]
600 43                     -29.815 -50 -50 0.0
1100 48.61711546333403 -4.784355237228003                         -50 -50 0.0
1600 59.83185920998791 11.89456392210348                         33 -49.733333333333334 0.0033333333333333335
2100 66.88088430837385 26.012748884499963                         33 -49.483333333333334 0.006666666666666667
2600 77.30137510677237 38.77676665402464                         51 -49.16166666666667 0.01
3100 92.78643541918265 48.99825182470593                         63 -49.5 0.005
3600 97.99063588066318 58.36418060342806                         80 -49.24 0.006666666666666667
4100 101.65034653027806 67.39456645690271                         84 -49.18833333333333 0.006666666666666667
4600 105.24034286804327 76.63821251533862                         84 -49.56 0.0033333333333333335
5100 112.54679819583355 85.76012979627629                         103 -48.82666666666667 0.008333333333333333
5600 112.89174739803973 93.2195426451254                         110 -48.53333333333333 0.01
6100 116.5366540690311 99.68175710076459                         110 -48.49166666666667 0.01
6600 127.38797658890897 104.98497807969471                         110 -48.97833333333333 0.006666666666666667
7100 132.4863998646534 109.90941309149483                         119 -49.196666666666665 0.005
7600 132.4863998646534 114.6967856752858                         125 -49.16 0.005
8100 135.31989711730068 119.34735217337428                         125 -49.42666666666667 0.0033333333333333335
8600 137.46853672459633 124.13590441541297                         131 -49.125 0.005
9100 141.8940643746799 128.01872905820682                         131 -49.406666666666666 0.0033333333333333335
9600 143.84098783769807 131.24593093241583                         131 -49.69833333333333 0.0016666666666666668
10100 144.73332415776892 134.21061928556864                         131 -49.69833333333333 0.0016666666666666668
10600 147.54386601872307 137.14268485935918                         142 -49.05166666666667 0.005
11100 148.1336997474444 139.86607850096928                         142 -49.05166666666667 0.005
11600 148.84986841569517 141.9568346311464                         144 -49.04 0.005
12100 151.48276409421157 143.7759808359949                         144 -49.35666666666667 0.0033333333333333335
12600 151.8432312110476 145.23574176072057                         144 -49.67666666666667 0.0016666666666666668
13100 153.2223960441393 146.69185813705604                         147 -49.67166666666667 0.0016666666666666668
13600 155.2390769380794 147.91325343300727                         147 -49.67166666666667 0.0016666666666666668
14100 160.53633556480386 149.14443845757287                         -50 -50 0.0
14600 160.53633556480386 150.36616708075516                         -50 -50 0.0
15100 161.0533347305259 151.4093598405491                         -50 -50 0.0
15600 161.0533347305259 152.70948704580138                         -50 -50 0.0
16100 162.5034678033218 153.98759109455904                         -50 -50 0.0
16600 162.76474071693724 155.31023139153203                         -50 -50 0.0
17100 163.8747889911521 156.42944461789185                         -50 -50 0.0
17600 163.8747889911521 157.50513751077952                         -50 -50 0.0
18100 164.7231421881031 158.45522585972267                         -50 -50 0.0
18600 165.3561807059823 159.24891068115159                         -50 -50 0.0
19100 165.58897636825242 160.091342087219                         -50 -50 0.0
19600 167.64827775753312 160.95095109535256                         -50 -50 0.0
20100 169.03458387380957 161.88868761351398                         -50 -50 0.0
20600 169.65566580383896 162.9568875617647                         -50 -50 0.0
21100 169.87324605795135 164.10286951439147                         -50 -50 0.0
21600 171.71051214122124 165.26987886318406                         -50 -50 0.0
22100 172.37817536176803 166.5495912829721                         -50 -50 0.0
22600 173.8193358979615 167.94292062589886                         -50 -50 0.0
23100 174.64715705045555 169.22376931146584                         -50 -50 0.0
23600 174.64715705045555 170.46802159833928                         -50 -50 0.0
24100 175.11426612435716 171.6586323821791                         -50 -50 0.0
24600 175.11426612435716 172.42808704792841                         -50 -50 0.0
25100 175.11426612435716 172.96902757061358                         -50 -50 0.0
25600 175.11426612435716 173.35668340761256                         -50 -50 0.0
26100 175.40181355721293 173.66354800091284                         -50 -50 0.0
26600 175.76070390108904 173.92433170096797                         -50 -50 0.0
27100 175.76964668285925 174.1753493368091                         -50 -50 0.0
27600 175.76964668285925 174.42049659748636                         -50 -50 0.0
28100 176.15655150604346 174.64681267075585                         -50 -50 0.0
28600 176.15655150604346 174.8412274646739                         -50 -50 0.0
