177
[(63, 0, 0), (76, 20, 0), (90, 16, 2), (86, 6, 2), (68, 18, 2), (67, 24, 2), (56, 9, 0), (75, 16, 3), (56, 1, 0), (75, 39, 1), (58, 23, 3), (63, 17, 2), (90, 19, 2), (81, 35, 1), (88, 27, 1), (68, 14, 2), (64, 6, 1), (73, 0, 0), (79, 33, 2), (59, 31, 1)]
600 53                     -29.18 28 -49.87 0.0016666666666666668
12600 159.11910942814853 150.6163500643532                         -50 -50 0.0
13100 160.9851322099101 152.7631802791682                         -50 -50 0.0
13600 160.9851322099101 154.52692888137597                         -50 -50 0.0
14100 163.60512298739036 155.91051780303098                         -50 -50 0.0
14600 163.60512298739036 157.18364437937603                         -50 -50 0.0
15100 163.84507237472374 158.45240444499325                         -50 -50 0.0
15600 164.66724938493448 159.67536003829096                         -50 -50 0.0
16100 165.43333773635996 160.71662935042784                         -50 -50 0.0
16600 166.43156235048468 161.63055278859767                         -50 -50 0.0
17100 167.6737958781596 162.54154825361826                         -50 -50 0.0
17600 168.0305206542072 163.32652033128528                         -50 -50 0.0
18100 168.0305206542072 163.91286162990286                         -50 -50 0.0
18600 168.4599662642919 164.5596620716944                         -50 -50 0.0
19100 168.81200092971542 165.17372801599603                         -50 -50 0.0
19600 168.81200092971542 165.7277831034315                         -50 -50 0.0
20100 169.18207632563596 166.33647632497443                         -50 -50 0.0
20600 169.18207632563596 166.89318975869392                         -50 -50 0.0
21100 169.18207632563596 167.40073094682384                         -50 -50 0.0
21600 170.41410206722858 167.84474289778208                         -50 -50 0.0
22100 170.41410206722858 168.2066659624831                         -50 -50 0.0
22600 170.4654515143041 168.54624136392152                         -50 -50 0.0
23100 171.60775417272546 168.83818348610083                         -50 -50 0.0
23600 171.60775417272546 169.0636098229871                         -50 -50 0.0
24100 172.0 169.2550907913302                         172 -49.63 0.0016666666666666668
24600 172.0 169.4469646110504                         172 -48.89333333333333 0.005
25100 172.0 169.63427589620005                         172 -45.58 0.02
25600 172.1994845668102 169.8773281624172                         172 -39.31666666666667 0.04833333333333333
26100 172.1994845668102 170.29606081925743                         172 -28.60333333333333 0.09666666666666666
26600 172.1994845668102 170.90783609386503                         172 -8.991666666666667 0.185
27100 172.60022406368358 171.48458607164204                         172 22.876666666666665 0.3283333333333333
27600 172.6215583231272 171.8562971287394                         172 77.65 0.575
28100 172.86423193784506 172.0416642147127                         172 103.18 0.69
28600 172.89458639249608 172.14878169426663                         172 57.3 0.48333333333333334
29100 172.91373105221572 172.2682878920576                         172 -1.53 0.21833333333333332
29600 173.39525466893502 172.4090832238914                         172 -47.41 0.011666666666666667
30100 173.72590802720924 172.53344064016846                         172 -49.63 0.0016666666666666668
30600 174.51255883956222 172.6616727655288                         -50 -50 0.0
31100 174.51255883956222 172.7953560595501                         -50 -50 0.0
31600 174.87825531175866 173.05794338229492                         -50 -50 0.0
32100 174.89958466068322 173.44686999585045                         -50 -50 0.0
32600 174.89958466068322 173.9104218312568                         -50 -50 0.0
33100 175.6039103185571 174.34734838364355                         -50 -50 0.0
33600 175.6039103185571 174.62419805594416                         -50 -50 0.0
34100 175.6039103185571 174.74714477696816                         -50 -50 0.0
34600 175.6039103185571 174.8080424410543                         -50 -50 0.0
35100 175.6039103185571 174.887813240986                         -50 -50 0.0
35600 175.6039103185571 174.99208112821393                         -50 -50 0.0
36100 176.0 175.22151315135272                         176 -48.87 0.005
36600 176.0 175.4740062453218                         176 -46.986666666666665 0.013333333333333334
37100 176.0 175.60576395373934                         176 -43.596666666666664 0.028333333333333332
37600 176.61517936275945 175.63172393456296                         176 -36.81666666666667 0.058333333333333334
38100 176.61517936275945 175.68363256660288                         176 -14.216666666666667 0.15833333333333333
38600 176.61517936275945 175.75206065444428                         176 24.203333333333333 0.3283333333333333
39100 176.61517936275945 175.86430869975916                         176 86.35333333333334 0.6033333333333334
39600 176.61517936275945 175.9750793191795                         176 148.12666666666667 0.8766666666666667
40100 176.61517936275945 176.01812505808613                         176 159.42666666666668 0.9266666666666666
40600 176.61517936275945 176.0537082519474                         176 147.37333333333333 0.8733333333333333
41100 176.61517936275945 176.12700587305068                         176 122.51333333333334 0.7633333333333333
41600 176.61517936275945 176.2599244538773                         176 71.28666666666666 0.5366666666666666
42100 176.61517936275945 176.45011813661836                         176 3.11 0.235
42600 176.61517936275945 176.56868163550095                         176 -43.596666666666664 0.028333333333333332
43100 176.61517936275945 176.59024983150843                         -50 -50 0.0
43600 176.61517936275945 176.59311132951999                         -50 -50 0.0
44100 176.61517936275945 176.59140885524798                         -50 -50 0.0
44600 176.61517936275945 176.57864635217774                         -50 -50 0.0
45100 176.61517936275945 176.5909994805734                         -50 -50 0.0
45600 176.61517936275945 176.59017638032802                         -50 -50 0.0
46100 176.61517936275945 176.58929937476438                         -50 -50 0.0
46600 176.61517936275945 176.5721643003166                         -50 -50 0.0
47100 176.61517936275945 176.5727406108683                         -50 -50 0.0
47600 176.61517936275945 176.57295099939898                         -50 -50 0.0
48100 176.61517936275945 176.5667011908443                         -50 -50 0.0
48600 176.61517936275945 176.56755389760383                         -50 -50 0.0
49100 176.61517936275945 176.5861989149395                         -50 -50 0.0
49600 176.61517936275945 176.58855743809917                         -50 -50 0.0
50100 176.61517936275945 176.58755337602358                         -50 -50 0.0
50600 176.61517936275945 176.58454773340833                         -50 -50 0.0
51100 176.61517936275945 176.58568891650685                         -50 -50 0.0
51600 176.61517936275945 176.58136065246205                         -50 -50 0.0
52100 176.61517936275945 176.578672568963                         -50 -50 0.0
52600 176.61517936275945 176.58084421083308                         -50 -50 0.0
53100 176.61517936275945 176.58592842169037                         -50 -50 0.0
53600 176.61517936275945 176.58654773510153                         -50 -50 0.0
54100 176.61517936275945 176.57905860516428                         -50 -50 0.0
54600 176.61517936275945 176.58004022922594                         -50 -50 0.0
55100 176.61517936275945 176.5867378772613                         -50 -50 0.0
55600 176.61517936275945 176.58664597959304                         -50 -50 0.0
56100 176.61517936275945 176.58805645515721                         -50 -50 0.0
56600 176.61517936275945 176.56809643352452                         -50 -50 0.0
57100 176.61517936275945 176.5815242858072                         -50 -50 0.0
57600 176.61517936275945 176.59137190653234                         -50 -50 0.0
58100 176.61517936275945 176.59041273161984                         -50 -50 0.0
58600 176.61517936275945 176.5983015497734                         -50 -50 0.0
59100 176.61517936275945 176.60023632575766                         -50 -50 0.0
59600 176.61517936275945 176.59800964857303                         -50 -50 0.0
60100 176.61517936275945 176.59448464473962                         -50 -50 0.0
60600 176.61517936275945 176.5892944403718                         -50 -50 0.0
61100 176.61517936275945 176.56385443158396                         -50 -50 0.0
61600 176.61517936275945 176.57781536812527                         -50 -50 0.0
62100 176.61517936275945 176.58673719492114                         -50 -50 0.0
