179
[(81, 32, 1), (69, 14, 3), (78, 2, 2), (70, 15, 0), (89, 34, 2), (80, 12, 0), (71, 29, 3), (94, 7, 2), (98, 0, 3), (93, 20, 0), (92, 27, 1), (84, 6, 0), (84, 22, 3), (99, 3, 3), (92, 20, 0), (79, 14, 1), (69, 15, 0), (82, 37, 1), (70, 23, 3), (81, 15, 2)]
600 35                     -29.99 -50 -50 0.0
1100 44.616217631178664 -4.142693650203943                         -50 -50 0.0
1600 67.19536167642283 13.192545643631085                         -50 -50 0.0
2100 71.90368667930142 27.323503093300896                         52 -49.83 0.0016666666666666668
2600 84.35029405483584 39.383924783331004                         55 -49.053333333333335 0.01
3100 87.23161180096308 49.04641966899837                         77 -48.84166666666667 0.011666666666666667
3600 94.65568155085079 57.52848431371312                         77 -49.28333333333333 0.006666666666666667
4100 101.21363597422318 65.50153440995761                         77 -48.858333333333334 0.01
4600 101.21363597422318 72.43762863678126                         91 -49.166666666666664 0.006666666666666667
5100 119.17667561149152 79.17161434999264                         91 -49.34166666666667 0.005
5600 119.17667561149152 86.12095223976763                         91 -49.33166666666666 0.005
6100 124.60841774157248 92.40289163951725                         102 -49.04833333333333 0.006666666666666667
6600 128.79889300707296 98.86589654900693                         102 -49.013333333333335 0.006666666666666667
7100 128.79889300707296 106.17451268808011                         102 -49.49333333333333 0.0033333333333333335
7600 132.61377994490826 112.9992185878086                         -50 -50 0.0
8100 143.03670313874525 119.3510913302993                         -50 -50 0.0
8600 143.03670313874525 124.82470407475195                         129 -49.405 0.0033333333333333335
9100 144.33172620554723 130.0488145190555                         129 -49.108333333333334 0.005
9600 147.44815503651375 134.30868070862618                         140 -49.385 0.0033333333333333335
10100 148.64201124772381 137.69934194109246                         140 -49.68333333333333 0.0016666666666666668
10600 156.19240431037522 140.2262212171524                         140 -49.68333333333333 0.0016666666666666668
11100 156.19240431037522 142.4907349690245                         -50 -50 0.0
11600 156.74687197223452 144.7757422211669                         149 -49.66833333333334 0.0016666666666666668
12100 158.6046777111983 146.95516506930755                         149 -49.66833333333334 0.0016666666666666668
12600 158.7656745820741 149.37972024879593                         150 -49.335 0.0033333333333333335
13100 160.03114344149887 151.70177271224568                         149 -49.66833333333334 0.0016666666666666668
13600 162.82933405336266 153.96003019796734                         -50 -50 0.0
14100 164.09267502783243 155.82548705591842                         -50 -50 0.0
14600 164.09267502783243 157.4102209655972                         -50 -50 0.0
15100 164.92095670596547 158.9218189819645                         -50 -50 0.0
15600 167.58774353212667 160.4065123672822                         -50 -50 0.0
16100 168.83439657902503 161.8064063517282                         -50 -50 0.0
16600 168.83439657902503 162.96796053155344                         -50 -50 0.0
17100 169.6595147762615 164.00959444836093                         -50 -50 0.0
