179
[(79, 26, 0), (107, 16, 1), (85, 8, 0), (106, 27, 3), (103, 10, 1), (77, 31, 2), (106, 14, 1), (87, 31, 3), (104, 32, 1), (91, 12, 3), (105, 1, 2), (101, 20, 3), (102, 29, 3), (100, 16, 3), (82, 23, 0), (79, 9, 2), (97, 38, 3), (95, 0, 3), (99, 12, 2), (89, 17, 0)]
600 32                     -30.873333333333335 -50 -50 0.0
1100 42.67033229096573 -5.065171837343329                         -50 -50 0.0
1600 57.0273426406853 11.605379174506563                         -50 -50 0.0
2100 66.72265556061724 24.586254299436366                         44 -49.843333333333334 0.0016666666666666668
2600 78.23904046735485 35.6283105697123                         44 -49.843333333333334 0.0016666666666666668
3100 81.30312784919147 44.17987852517833                         52 -49.67333333333333 0.0033333333333333335
3600 92.23992381093379 52.118469414955975                         52 -49.346666666666664 0.006666666666666667
4100 92.23992381093379 59.44642640502714                         70 -49.458333333333336 0.005
4600 100.62356295038057 65.88880772138987                         70 -49.8 0.0016666666666666668
5100 101.27807018379379 72.11374447451664                         80 -49.385 0.005
5600 101.75667841225705 79.11737070341903                         80 -49.385 0.005
6100 111.93224498154214 86.4055396908664                         94 -49.075 0.006666666666666667
6600 112.27236119858357 93.37377181906001                         94 -48.82333333333333 0.008333333333333333
7100 120.95525205556949 99.5384871403681                         109 -48.77166666666667 0.008333333333333333
7600 121.43096136438315 105.22310594863404                         115 -48.39666666666667 0.01
8100 124.19054085493994 110.1293318614069                         120 -47.29333333333334 0.016666666666666666
8600 130.75401105823008 114.70677506753808                         120 -47.535 0.015
9100 135.3764974432409 119.3045630691515                         120 -48.88333333333333 0.006666666666666667
9600 137.86572037815213 123.23336929869023                         120 -49.43333333333333 0.0033333333333333335
10100 137.94893732722602 126.6973588808341                         129 -49.70166666666667 0.0016666666666666668
10600 141.53030284525914 129.40954659497453                         129 -49.403333333333336 0.0033333333333333335
11100 142.6105684753976 132.52007723469544                         138 -49.388333333333335 0.0033333333333333335
11600 144.19721223153937 135.40481681084472                         143 -48.123333333333335 0.01
12100 146.87675259539097 138.03702661064295                         143 -48.413333333333334 0.008333333333333333
12600 148.16476928511312 140.3074766375449                         143 -48.09 0.01
13100 150.66284226128928 141.9742961704884                         144 -48.07333333333333 0.01
13600 153.94497864813354 143.0348887802989                         144 -47.42166666666667 0.013333333333333334
14100 155.88056365526356 144.16873175537532                         144 -46.13166666666667 0.02
14600 155.88056365526356 145.9336171364477                         153 -46.76 0.016666666666666666
15100 156.61138907888508 148.46618398462462                         153 -49.32333333333333 0.0033333333333333335
15600 156.61138907888508 150.81894862529305                         153 -49.32333333333333 0.0033333333333333335
16100 156.61138907888508 152.6437694671653                         153 -49.32333333333333 0.0033333333333333335
16600 159.7809040383554 153.88682901680264                         157 -48.63666666666666 0.006666666666666667
17100 162.65017161645994 154.85843152575575                         157 -47.25666666666667 0.013333333333333334
17600 162.65017161645994 155.59794691873927                         157 -46.553333333333335 0.016666666666666666
18100 163.55265564965492 156.5814836113022                         157 -44.48 0.02666666666666667
18600 163.62979630820345 157.8089656492212                         157 -44.48 0.02666666666666667
19100 163.70857924325898 159.27256655861882                         163 -46.538333333333334 0.016666666666666666
19600 165.2297931739898 160.70100500332572                         164 -48.23 0.008333333333333333
20100 165.2297931739898 161.8585476451673                         164 -47.50666666666667 0.011666666666666667
20600 165.58307595449028 162.65452072672278                         165 -43.583333333333336 0.03
21100 165.58307595449028 163.2379854584864                         165 -36.446666666666665 0.06333333333333334
21600 166.87809013365882 163.76099650100798                         165 -26.09 0.11166666666666666
22100 167.29841665940017 164.19229098300124                         165 -19.991666666666667 0.14
22600 167.55658214808182 164.52876928444437                         165 -18.543333333333333 0.14666666666666667
23100 168.56555138989992 164.9215141755609                         166 -23.151666666666667 0.125
23600 168.56555138989992 165.29032747456833                         166 -27.778333333333332 0.10333333333333333
24100 169.88489119167832 165.7728061840001                         166 -28.85 0.09833333333333333
24600 170.27904082803605 166.412070514097                         166 -41.75 0.03833333333333333
25100 170.28683083581794 166.97466448515934                         168 -48.2 0.008333333333333333
25600 171.01565466591006 167.4545106471222                         168 -49.63666666666666 0.0016666666666666668
26100 172.02527581790727 167.95286574412603                         168 -49.63666666666666 0.0016666666666666668
26600 172.02527581790727 168.36920162613995                         168 -49.63666666666666 0.0016666666666666668
27100 172.3619143679762 168.89837913826815                         168 -49.63666666666666 0.0016666666666666668
27600 172.67536401752844 169.46416255532586                         168 -49.63666666666666 0.0016666666666666668
28100 172.67536401752844 170.15651694861282                         -50 -50 0.0
28600 172.67536401752844 170.73424538514286                         -50 -50 0.0
29100 173.0 171.20419345036046                         173 -49.25666666666667 0.0033333333333333335
29600 173.0 171.52174840675553                         173 -48.14333333333333 0.008333333333333333
30100 173.0 171.8142404127213                         173 -45.913333333333334 0.018333333333333333
30600 173.0 172.09560332696574                         173 -41.825 0.03666666666666667
31100 173.0 172.33259726986753                         173 -31.046666666666667 0.085
31600 173.0 172.56052314179956                         173 -6.886666666666667 0.19333333333333333
32100 173.0 172.73154018248547                         173 38.45666666666666 0.39666666666666667
32600 173.0 172.88231842486806                         173 101.26833333333333 0.6783333333333333
33100 173.2834819731727 172.9732608376883                         173 156.64666666666668 0.9266666666666666
33600 173.32874166714186 172.99362962882603                         173 168.91166666666666 0.9816666666666667
34100 174.0 173.0090325466351                         174 168.54166666666666 0.98
34600 174.0 173.01052486776447                         174 160.00333333333333 0.9416666666666667
35100 174.62215741001705 173.06622448902792                         174 148.86666666666667 0.8916666666666667
35600 175.30851705257766 173.18254150414924                         174 119.92833333333333 0.7616666666666667
36100 176.0 173.3744818255418                         176 82.13333333333334 0.5916666666666667
36600 176.0 173.68486296669286                         176 69.35666666666667 0.5333333333333333
37100 176.0 174.0061129071454                         176 96.39 0.6533333333333333
37600 176.0 174.28257920012982                         176 120.01333333333334 0.7583333333333333
38100 176.0 174.67063495306567                         176 94.84 0.645
38600 176.0 175.22758216291263                         176 78.49 0.57
39100 176.0 175.71692649059258                         176 107.79666666666667 0.6983333333333334
39600 176.0 175.94874991090785                         176 157.92 0.92
40100 176.0 175.9917248201732                         176 172.61 0.985
40600 176.22617683570357 175.98361079283308                         176 174.11666666666667 0.9916666666666667
41100 176.230159497268 175.98253968090106                         176 174.11666666666667 0.9916666666666667
41600 176.25207637480048 175.99866492346507                         176 172.61 0.985
42100 176.26179901713397 175.9977978421622                         176 168.09 0.965
42600 176.274247261487 176.01877206080314                         176 158.67333333333335 0.9233333333333333
