182
[(100, 13, 2), (88, 14, 0), (103, 29, 2), (105, 31, 2), (86, 2, 0), (103, 0, 1), (86, 5, 2), (89, 3, 2), (83, 21, 3), (76, 19, 0), (85, 27, 3), (90, 29, 1), (98, 10, 1), (98, 14, 3), (99, 15, 2), (95, 19, 1), (85, 35, 1), (103, 31, 3), (84, 20, 0), (82, 11, 1)]
600 59                     -28.526666666666667 -50 -50 0.0
1100 59 -2.1287365185928255                         -50 -50 0.0
1600 80.8907072752966 14.625000207743788                         13 -49.895 0.0016666666666666668
2100 88.34727934737306 29.1296786903946                         57 -49.821666666666665 0.0016666666666666668
2600 92.79740883517216 43.33469221293224                         57 -49.485 0.005
3100 96.66827936849104 56.9149352096991                         57 -49.465 0.005
3600 106.33577062220105 68.23167510167652                         57 -49.64333333333333 0.0033333333333333335
4100 113.30836082370858 77.5729849064713                         98 -49.528333333333336 0.0033333333333333335
4600 116.97692244855754 86.06799928945951                         96 -49.29666666666667 0.005
5100 119.8222904702607 94.12565535019608                         96 -49.288333333333334 0.005
5600 123.64247209366266 101.93676748869822                         117 -49.20666666666666 0.005
6100 127.63951196760954 108.08618462085998                         117 -49.2 0.005
6600 137.42103944377834 113.05700044179615                         117 -49.45 0.0033333333333333335
7100 137.42103944377834 117.46141387456896                         117 -49.445 0.0033333333333333335
7600 139.741237572984 122.56647574342647                         117 -49.721666666666664 0.0016666666666666668
8100 140.4842611464068 127.27484799407159                         -50 -50 0.0
8600 145.65492702211876 131.16522951597352                         -50 -50 0.0
9100 145.7707126922983 134.71660938572745                         -50 -50 0.0
9600 148.35744517827732 137.4599366559708                         -50 -50 0.0
10100 149.23232814755633 139.95819658703496                         -50 -50 0.0
10600 152.37184164716987 142.6433791479746                         -50 -50 0.0
11100 156.63676885362983 145.41112971018956                         -50 -50 0.0
11600 157.0092059430464 147.7143187537078                         -50 -50 0.0
12100 160.53778373796192 149.66405693808701                         -50 -50 0.0
12600 162.47245818695808 151.6598587008703                         -50 -50 0.0
13100 162.47245818695808 153.41353681783156                         -50 -50 0.0
13600 163.61567340055583 154.96418779292154                         -50 -50 0.0
14100 163.74664879797274 156.2193812115144                         -50 -50 0.0
14600 166.33458269959078 157.5287521880799                         -50 -50 0.0
15100 166.4900301478213 158.70169776797448                         -50 -50 0.0
15600 167.39785295000993 160.0887482361735                         -50 -50 0.0
16100 170.01835152528074 161.39223871750795                         -50 -50 0.0
16600 170.01835152528074 162.66594619751478                         -50 -50 0.0
17100 172.07434725797043 163.8049304144258                         -50 -50 0.0
17600 172.07434725797043 165.03813029582082                         -50 -50 0.0
18100 172.07434725797043 166.280139076431                         -50 -50 0.0
18600 172.1709127848916 167.4267501550949                         -50 -50 0.0
19100 172.74715046135483 168.47084321333662                         -50 -50 0.0
19600 173.8668129326071 169.48315127980734                         -50 -50 0.0
20100 174.4977694493041 170.26926356970503                         -50 -50 0.0
20600 174.4977694493041 171.08802847877013                         -50 -50 0.0
21100 174.55278552237507 171.71570674227866                         -50 -50 0.0
21600 175.4061687606614 172.27997950963243                         -50 -50 0.0
22100 175.4061687606614 172.77748297438708                         -50 -50 0.0
22600 175.4061687606614 173.19770856368595                         -50 -50 0.0
23100 176.42079696671013 173.59254753689524                         -50 -50 0.0
23600 176.42079696671013 173.90906304439437                         -50 -50 0.0
24100 176.42079696671013 174.12774395845955                         -50 -50 0.0
24600 176.8887563368491 174.3524570360456                         -50 -50 0.0
25100 176.90626358742588 174.5586775682072                         -50 -50 0.0
25600 176.90626358742588 174.70171224371362                         -50 -50 0.0
26100 178.0613750585498 174.83257818985342                         -50 -50 0.0
26600 178.0613750585498 174.9748020758784                         -50 -50 0.0
27100 178.55067440726893 175.12856516529985                         176 -49.623333333333335 0.0016666666666666668
27600 178.55067440726893 175.30673413415028                         176 -49.623333333333335 0.0016666666666666668
28100 178.55067440726893 175.54247124218668                         176 -49.623333333333335 0.0016666666666666668
28600 178.57899503575428 175.80466683892416                         176 -49.623333333333335 0.0016666666666666668
29100 178.63136794435795 176.161113119095                         176 -49.623333333333335 0.0016666666666666668
29600 179.02361561420244 176.49236742425816                         176 -49.623333333333335 0.0016666666666666668
30100 179.24901857283467 176.8269710625082                         176 -49.623333333333335 0.0016666666666666668
30600 179.32158972417736 177.21320099670143                         -50 -50 0.0
31100 179.32158972417736 177.59422837137365                         -50 -50 0.0
31600 180.48963687807898 178.00459987725895                         -50 -50 0.0
32100 180.48963687807898 178.47070191206572                         -50 -50 0.0
32600 180.48963687807898 178.75715948032186                         -50 -50 0.0
33100 181.2290315272847 179.00609007489967                         -50 -50 0.0
33600 181.2526659932824 179.34109142421883                         -50 -50 0.0
34100 181.2526659932824 179.66111620612432                         -50 -50 0.0
34600 181.2526659932824 180.04055305953423                         -50 -50 0.0
35100 181.2526659932824 180.54279974331567                         -50 -50 0.0
35600 181.2526659932824 180.9699684401663                         -50 -50 0.0
36100 181.2526659932824 181.18142579812985                         -50 -50 0.0
36600 181.2526659932824 181.2126911404124                         -50 -50 0.0
37100 181.2526659932824 181.21308203437314                         -50 -50 0.0
37600 181.2526659932824 181.21549867294715                         -50 -50 0.0
38100 181.2526659932824 181.19524238726652                         -50 -50 0.0
38600 181.2526659932824 181.2115421160432                         -50 -50 0.0
39100 181.2526659932824 181.20995976140415                         -50 -50 0.0
39600 181.2526659932824 181.21128400222958                         -50 -50 0.0
40100 181.2526659932824 181.19490342296103                         -50 -50 0.0
40600 181.5848069579266 181.19568300781597                         -50 -50 0.0
41100 181.5879203492595 181.2107028449521                         -50 -50 0.0
41600 181.5879203492595 181.2051919551533                         -50 -50 0.0
42100 181.5879203492595 181.22270287902558                         -50 -50 0.0
42600 181.5879203492595 181.23510307619583                         -50 -50 0.0
43100 181.5879203492595 181.26591936795276                         -50 -50 0.0
43600 181.5879203492595 181.39400861466532                         -50 -50 0.0
44100 181.5879203492595 181.50910545820707                         -50 -50 0.0
44600 181.5879203492595 181.55528078678032                         -50 -50 0.0
45100 181.5879203492595 181.55759276096796                         -50 -50 0.0
45600 181.5879203492595 181.57127349026544                         -50 -50 0.0
46100 181.5879203492595 181.57988402270215                         -50 -50 0.0
46600 181.5928953197022 181.58230331812643                         -50 -50 0.0
47100 181.5928953197022 181.58161799781678                         -50 -50 0.0
47600 181.59935155420413 181.5947263422993                         -50 -50 0.0
48100 181.60566586135954 181.58297415702063                         -50 -50 0.0
48600 181.60566586135954 181.58892013581797                         -50 -50 0.0
49100 181.61054866461865 181.6012258592137                         -50 -50 0.0
49600 181.61755942674478 181.6107205149799                         -50 -50 0.0
50100 181.6201806002631 181.5950082948107                         -50 -50 0.0
50600 181.6201806002631 181.6127638904428                         -50 -50 0.0
51100 181.6201806002631 181.61546468005992                         -50 -50 0.0
51600 181.6201806002631 181.61164348948586                         -50 -50 0.0
52100 181.6201806002631 181.61202232456407                         -50 -50 0.0
52600 181.6201806002631 181.6082279285813                         -50 -50 0.0
53100 181.6201806002631 181.59342411304883                         -50 -50 0.0
53600 181.6201806002631 181.60143648665942                         -50 -50 0.0
54100 181.6201806002631 181.58912361928472                         -50 -50 0.0
54600 181.6201806002631 181.60535943767638                         -50 -50 0.0
55100 181.6201806002631 181.60992566037817                         -50 -50 0.0
55600 181.6201806002631 181.60278577144663                         -50 -50 0.0
56100 181.6201806002631 181.58947996003286                         -50 -50 0.0
56600 181.6201806002631 181.60554542179585                         -50 -50 0.0
57100 181.6201806002631 181.5814343338265                         -50 -50 0.0
57600 182.0 181.60079005311735                         182 -49.61333333333334 0.0016666666666666668
58100 182.0 181.6042376376007                         182 -48.84 0.005
58600 182.0 181.6044040133777                         182 -47.29333333333334 0.011666666666666667
59100 182.0 181.61724047232204                         182 -43.42666666666667 0.028333333333333332
59600 182.0 181.6286906257922                         182 -31.44 0.08
60100 182.0 181.67319742542995                         182 -6.306666666666667 0.18833333333333332
60600 182.0 181.75709363836515                         182 45.50666666666667 0.4116666666666667
61100 182.0 181.8515383157296                         182 112.01333333333334 0.6983333333333334
61600 182.0 181.9692026805665                         182 165.76 0.93
62100 182.0 181.9904393250381                         182 179.68 0.99
62600 182.0 181.99864763624646                         182 181.61333333333334 0.9983333333333333
63100 182.0 181.99132295729515                         182 181.61333333333334 0.9983333333333333
63600 182.0 181.97042784232272                         182 180.84 0.995
64100 182.0 181.99732270452608                         182 181.61333333333334 0.9983333333333333
64600 182.0 182.0                         182 182 1.0
65100 182.0 181.98386909496793                         182 180.84 0.995
65600 182.0 182.0                         182 182 1.0
66100 182.0 182.0                         182 182 1.0
66600 182.0 181.99530505264212                         182 181.22666666666666 0.9966666666666667
67100 182.0 181.9709991756431                         182 180.84 0.995
67600 182.0 181.98917033556916                         182 181.22666666666666 0.9966666666666667
68100 182.0 181.98797749041125                         182 180.84 0.995
68600 182.0 181.99716258154385                         182 181.61333333333334 0.9983333333333333
69100 182.0 181.97061165831587                         182 180.45333333333335 0.9933333333333333
69600 182.0 181.99166666666667                         182 181.99166666666667 1.0
70100 182.0 181.9894852577664                         182 180.84 0.995
