179
[(114, 35, 1), (123, 14, 3), (121, 39, 1), (110, 20, 1), (118, 0, 1), (118, 28, 3), (106, 10, 3), (118, 15, 3), (98, 32, 0), (105, 5, 1), (104, 7, 2), (117, 26, 2), (113, 35, 2), (99, 19, 1), (126, 30, 0), (108, 29, 0), (94, 4, 1), (113, 15, 2), (98, 27, 0), (96, 13, 0)]
600 43                     -32.236666666666665 -50 -50 0.0
1100 53.19903458772332 -6.545159208470754                         -50 -50 0.0
1600 72.45846909725354 10.214533867349433                         27 -49.87166666666667 0.0016666666666666668
2100 75.39912905530386 24.508005214520832                         39 -49.85166666666667 0.0016666666666666668
2600 102.36499683714183 38.68117235508684                         49 -49.55166666666667 0.005
3100 102.36499683714183 49.821365425201925                         64 -49.31666666666667 0.006666666666666667
3600 103.14825760081926 59.944665783082456                         71 -48.88666666666666 0.01
4100 112.23791516372074 69.03846526695665                         71 -49.23166666666667 0.006666666666666667
4600 112.23791516372074 76.75711977092116                         88 -48.935 0.008333333333333333
5100 113.34743164186469 84.1617891564365                         101 -47.971666666666664 0.015
5600 123.83919407194367 91.95416552990899                         103 -48.07833333333333 0.013333333333333334
6100 124.7925050554738 98.68561413605663                         106 -47.76166666666666 0.015
6600 129.12287576914 104.77216325582718                         106 -47.96666666666667 0.013333333333333334
7100 134.38246450211355 110.04463127462476                         113 -48.18833333333333 0.011666666666666667
7600 139.9895368355797 115.00193887022749                         128 -48.085 0.011666666666666667
8100 140.88088875665977 120.21471399299743                         128 -49.415 0.0033333333333333335
8600 147.484599895937 125.22788039242205                         128 -49.415 0.0033333333333333335
9100 147.484599895937 130.30879846632712                         128 -49.70333333333333 0.0016666666666666668
9600 148.66767333051052 134.8116390823148                         -50 -50 0.0
10100 150.11518773547203 138.61609365260037                         -50 -50 0.0
10600 154.12169237704384 141.85697971130955                         150 -49.666666666666664 0.0016666666666666668
11100 157.77344701682318 144.93672128890867                         150 -49.333333333333336 0.0033333333333333335
11600 157.77344701682318 147.78829598280515                         150 -48.666666666666664 0.006666666666666667
12100 159.42004275146755 150.2773917191384                         150 -48.666666666666664 0.006666666666666667
12600 161.386977469139 152.55811364539244                         150 -48.666666666666664 0.006666666666666667
13100 162.85580861880234 154.5622937660495                         -50 -50 0.0
13600 164.45642373465398 156.27978519062043                         -50 -50 0.0
14100 164.45642373465398 157.71048913574788                         -50 -50 0.0
14600 164.45642373465398 159.00663799931348                         -50 -50 0.0
15100 166.81693425257302 160.06680319588804                         -50 -50 0.0
15600 166.81693425257302 161.05160865457285                         -50 -50 0.0
16100 166.81693425257302 161.9691980457086                         -50 -50 0.0
16600 167.246479680157 162.7877843227039                         -50 -50 0.0
17100 167.7986671084523 163.5199516398048                         -50 -50 0.0
17600 168.5772990857931 164.13671429944137                         -50 -50 0.0
18100 168.98239807416576 164.67518778189466                         -50 -50 0.0
18600 170.23829418255008 165.26538112190568                         -50 -50 0.0
19100 170.23829418255008 165.9387754715179                         -50 -50 0.0
19600 171.42503630625885 166.68913228351875                         -50 -50 0.0
20100 171.42503630625885 167.46187350151865                         -50 -50 0.0
20600 171.42503630625885 168.18207071559158                         -50 -50 0.0
21100 172.00082251247153 168.76244834820648                         -50 -50 0.0
21600 172.00082251247153 169.2883720911855                         -50 -50 0.0
22100 172.55037325397916 169.77096852452624                         -50 -50 0.0
22600 172.93894767284013 170.29556378504466                         -50 -50 0.0
23100 172.94633105973068 170.94710132276572                         -50 -50 0.0
23600 173.2054514532187 171.51228300909565                         173 -49.62833333333333 0.0016666666666666668
24100 174.55903173225477 171.92566400223998                         173 -49.62833333333333 0.0016666666666666668
24600 174.56196651079068 172.2625341817948                         173 -49.25666666666667 0.0033333333333333335
25100 174.90192381495822 172.6538883918066                         173 -48.513333333333335 0.006666666666666667
25600 175.2771846223276 172.92148179812926                         173 -48.513333333333335 0.006666666666666667
26100 175.63002655741172 173.24104134756908                         173 -48.513333333333335 0.006666666666666667
26600 175.63157127260783 173.62305410363288                         173 -48.885 0.005
27100 175.63157127260783 174.066190715567                         173 -49.25666666666667 0.0033333333333333335
27600 175.63157127260783 174.5391642067167                         -50 -50 0.0
28100 175.63157127260783 174.8152254491886                         -50 -50 0.0
28600 176.0 174.97745720934554                         176 -49.623333333333335 0.0016666666666666668
29100 176.0 175.12734145647931                         176 -47.74 0.01
29600 176.0 175.26273032195414                         176 -44.72666666666667 0.023333333333333334
30100 176.0 175.4227098431858                         176 -33.803333333333335 0.07166666666666667
30600 176.0 175.5619594176041                         176 -11.58 0.17
31100 176.0 175.71945619973576                         176 32.11333333333334 0.36333333333333334
31600 176.0 175.87371729026628                         176 103.30333333333333 0.6783333333333333
32100 176.0 175.96846777975537                         176 159.42666666666668 0.9266666666666666
32600 176.0 175.98092060547629                         176 173.36333333333334 0.9883333333333333
33100 176.0 175.993878933079                         176 175.24666666666667 0.9966666666666667
33600 176.0 175.9864560561011                         176 174.87 0.995
34100 176.0 175.98964704804365                         176 175.24666666666667 0.9966666666666667
34600 176.0 175.9947478383534                         176 175.24666666666667 0.9966666666666667
35100 176.0 175.99704399416734                         176 175.62333333333333 0.9983333333333333
35600 176.0 175.99403862782137                         176 175.24666666666667 0.9966666666666667
36100 176.0 175.99938680149634                         176 175.62333333333333 0.9983333333333333
36600 176.0 175.99874306837907                         176 175.24666666666667 0.9966666666666667
37100 176.0 176.0                         176 176 1.0
37600 176.0 176.0                         176 176 1.0
38100 176.0 175.99489359400695                         176 174.87 0.995
38600 176.0 175.98659222258794                         176 175.24666666666667 0.9966666666666667
39100 176.0 175.99108673298892                         176 175.62333333333333 0.9983333333333333
39600 176.0 175.9769740348198                         176 174.49 0.9933333333333333
40100 176.0 175.99397722557933                         176 175.24666666666667 0.9966666666666667
40600 176.0 175.99808569946697                         176 175.62333333333333 0.9983333333333333
41100 176.0 175.9866010452343                         176 174.87 0.995
41600 176.0 176.0                         176 176 1.0
42100 176.0 175.995654321494                         176 175.24666666666667 0.9966666666666667
42600 176.0 175.98833675364102                         176 175.24666666666667 0.9966666666666667
43100 176.0 175.99476820482994                         176 175.24666666666667 0.9966666666666667
43600 176.0 176.0                         176 176 1.0
44100 176.0 175.99607893316835                         176 175.62333333333333 0.9983333333333333
44600 176.0 175.9902052007936                         176 174.49333333333334 0.9933333333333333
45100 176.0 176.0                         176 176 1.0
45600 176.0 175.98597756229168                         176 174.87 0.995
46100 176.0 175.99415099818648                         176 174.87 0.995
46600 176.0 176.0                         176 176 1.0
47100 176.0 176.0                         176 176 1.0
47600 176.0 175.97811466111423                         176 174.115 0.9916666666666667
48100 176.0 176.0                         176 176 1.0
48600 176.0 175.99357705491022                         176 175.62333333333333 0.9983333333333333
49100 176.0 176.0                         176 176 1.0
49600 176.0 175.99445622750278                         176 175.24666666666667 0.9966666666666667
50100 176.0 175.9993734608594                         176 175.62333333333333 0.9983333333333333
50600 176.0 175.99813180108217                         176 175.62333333333333 0.9983333333333333
51100 176.0 175.97683137908288                         176 174.49333333333334 0.9933333333333333
51600 176.0 175.99560072372768                         176 175.24666666666667 0.9966666666666667
52100 176.0 175.98662254254947                         176 175.24666666666667 0.9966666666666667
52600 176.0 175.9884315678464                         176 175.62333333333333 0.9983333333333333
53100 176.0 176.0                         176 176 1.0
53600 176.0 175.99171150204066                         176 175.24666666666667 0.9966666666666667
54100 176.0 176.0                         176 176 1.0
54600 176.0 175.99933834971148                         176 175.62333333333333 0.9983333333333333
55100 176.0 175.99801477411395                         176 175.62333333333333 0.9983333333333333
55600 176.0 175.99804662369348                         176 175.24666666666667 0.9966666666666667
56100 176.0 176.0                         176 176 1.0
56600 176.0 175.9922399054398                         176 174.87 0.995
57100 176.0 175.99426113723996                         176 175.62333333333333 0.9983333333333333
57600 176.0 175.98684069353848                         176 174.87 0.995
58100 176.0 175.9970232035829                         176 175.62333333333333 0.9983333333333333
58600 176.0 175.9986994173098                         176 175.62333333333333 0.9983333333333333
59100 176.0 176.0                         176 176 1.0
59600 176.0 175.99792807511426                         176 175.62333333333333 0.9983333333333333
60100 176.0 175.98994309331678                         176 174.49333333333334 0.9933333333333333
60600 176.0 175.99399237024275                         176 174.87 0.995
61100 176.0 175.9986558752331                         176 175.62333333333333 0.9983333333333333
61600 176.0 175.9923756086784                         176 175.62333333333333 0.9983333333333333
62100 176.0 175.9961597518504                         176 175.62333333333333 0.9983333333333333
62600 176.0 175.99744593591487                         176 175.62333333333333 0.9983333333333333
63100 176.0 175.9975202896352                         176 175.62333333333333 0.9983333333333333
63600 176.0 175.99118949944992                         176 175.62333333333333 0.9983333333333333
64100 176.0 175.99446760382278                         176 175.24666666666667 0.9966666666666667
64600 176.0 175.98148328046432                         176 174.11666666666667 0.9916666666666667
65100 176.0 175.99820231047167                         176 175.24666666666667 0.9966666666666667
65600 176.0 175.99819904498773                         176 175.24666666666667 0.9966666666666667
66100 177.0 175.99176162951937                         177 174.87166666666667 0.995
66600 177.0 175.9917418638779                         177 175.24833333333333 0.9966666666666667
67100 177.0 175.9973192975144                         177 175.625 0.9983333333333333
67600 177.0 175.98884486013284                         177 174.87166666666667 0.995
68100 177.0 175.98803510839338                         177 174.86833333333334 0.995
68600 177.0 175.98809598326062                         177 174.49666666666667 0.9933333333333333
69100 177.0 176.0073735221619                         177 175.255 0.9966666666666667
69600 177.0 176.01651863338265                         177 174.89 0.995
70100 177.0 176.0345632915179                         177 174.53833333333333 0.9933333333333333
70600 177.0 176.077094821846                         177 173.82 0.99
71100 177.0 176.16945982404172                         177 170.52833333333334 0.975
71600 177.0 176.36672598659192                         177 168.44833333333332 0.965
72100 177.0 176.63820077747187                         177 166.83333333333334 0.9566666666666667
72600 177.0 176.91476207897293                         177 171.25833333333333 0.975
73100 177.0 176.98763248332892                         177 175.85666666666665 0.995
73600 177.0 176.99659527214754                         177 176.24333333333334 0.9966666666666667
74100 177.0 176.98511894385283                         177 175.10833333333332 0.9916666666666667
74600 177.0 176.9889650166771                         177 176.24333333333334 0.9966666666666667
75100 177.0 177.0                         177 177 1.0
75600 177.0 176.999300007186                         177 176.62166666666667 0.9983333333333333
76100 177.36432296717254 176.9958364802662                         177 175.865 0.995
76600 178.5936040159042 177.00091921833163                         177 175.865 0.995
77100 178.5936040159042 176.99922729783722                         177 175.10833333333332 0.9916666666666667
77600 179.0 177.0061406109474                         179 175.115 0.9916666666666667
78100 179.0 177.02336758987698                         179 173.25 0.9833333333333333
78600 179.0 177.073920934925                         179 173.665 0.985
79100 179.0 177.1784726143795                         179 170.72166666666666 0.9716666666666667
79600 179.0 177.37718434334678                         179 164.075 0.9416666666666667
80100 179.0 177.77913317650913                         179 151.94 0.8866666666666667
80600 179.0 178.37174519592958                         179 144.93333333333334 0.8533333333333334
81100 179.0 178.8345624286117                         179 157.93666666666667 0.9083333333333333
81600 179.0 178.98923497570186                         179 177.47333333333333 0.9933333333333333
82100 179.0 178.98870581571578                         179 177.855 0.995
82600 179.0 178.98396943303771                         179 178.23666666666668 0.9966666666666667
83100 179.0 179.0                         179 179 1.0
83600 179.0 179.0                         179 179 1.0
84100 179.0 178.99368761740536                         179 178.61833333333334 0.9983333333333333
84600 179.0 178.99396845567944                         179 178.23666666666668 0.9966666666666667
85100 179.0 178.99184774944453                         179 178.23666666666668 0.9966666666666667
85600 179.0 178.99654016457785                         179 178.61833333333334 0.9983333333333333
86100 179.0 178.9928610836895                         179 178.61833333333334 0.9983333333333333
86600 179.0 178.98475170182107                         179 178.22833333333332 0.9966666666666667
87100 179.0 178.98428642575706                         179 177.855 0.995
87600 179.0 179.0                         179 179 1.0
88100 179.0 178.9838563798153                         179 177.855 0.995
88600 179.0 178.99439978993865                         179 178.23666666666668 0.9966666666666667
89100 179.0 178.99508295237294                         179 178.23666666666668 0.9966666666666667
89600 179.0 178.99524817313474                         179 178.23666666666668 0.9966666666666667
90100 179.0 178.99672634798662                         179 178.23666666666668 0.9966666666666667
90600 179.0 179.0                         179 179 1.0
91100 179.0 179.0                         179 179 1.0
91600 179.0 178.9934284997171                         179 178.23666666666668 0.9966666666666667
92100 179.0 179.0                         179 179 1.0
92600 179.0 179.0                         179 179 1.0
93100 179.0 179.0                         179 179 1.0
93600 179.0 178.99793104664542                         179 178.61833333333334 0.9983333333333333
94100 179.0 178.9922844053033                         179 178.61333333333334 0.9983333333333333
94600 179.0 178.97636572649313                         179 177.09166666666667 0.9916666666666667
95100 179.0 178.99237796986088                         179 178.23666666666668 0.9966666666666667
95600 179.0 178.99579932041755                         179 178.23666666666668 0.9966666666666667
96100 179.0 178.99452064521856                         179 178.61833333333334 0.9983333333333333
96600 179.0 179.0                         179 179 1.0
97100 179.0 178.9794422219693                         179 177.47333333333333 0.9933333333333333
97600 179.0 178.9966861466137                         179 178.61833333333334 0.9983333333333333
98100 179.0 179.0                         179 179 1.0
98600 179.0 178.99868387168522                         179 178.23666666666668 0.9966666666666667
99100 179.0 178.98026937470547                         179 177.47333333333333 0.9933333333333333
99600 179.0 179.0                         179 179 1.0
100100 179.0 179.0                         179 179 1.0
