180
[(81, 11, 2), (90, 25, 0), (64, 7, 3), (93, 7, 2), (64, 27, 3), (82, 16, 0), (90, 3, 3), (91, 35, 0), (88, 22, 1), (75, 33, 2), (81, 17, 2), (67, 18, 0), (92, 33, 2), (67, 5, 1), (74, 36, 0), (67, 33, 3), (76, 35, 1), (74, 5, 3), (82, 6, 3), (64, 39, 2)]
600 45                     -29.986666666666668 -50 -50 0.0
1100 55.047272010522995 -3.9404515318635562                         38 -49.718333333333334 0.0033333333333333335
1600 67.82616958415099 12.112849952410079                         38 -49.718333333333334 0.0033333333333333335
2100 83.50863397791167 25.98947657385466                         46 -49.138333333333335 0.01
2600 88.89888185321682 39.01713332945899                         51 -49.11666666666667 0.01
3100 93.61736299878508 50.459185863630964                         64 -49.013333333333335 0.01
3600 102.23415706973304 60.764945295442175                         74 -49.435 0.005
4100 105.89666979421888 70.7234637193814                         74 -49.405 0.005
4600 115.84450267641007 80.61480756929556                         78 -49.17166666666667 0.006666666666666667
5100 115.84450267641007 88.48656565091419                         93 -49.54833333333333 0.0033333333333333335
5600 124.73708325263728 96.74346185304914                         115 -49.25333333333333 0.005
6100 128.12771298121305 104.3556755604903                         115 -49.725 0.0016666666666666668
6600 135.25948828335265 110.96972312584049                         115 -49.725 0.0016666666666666668
7100 135.3432962043213 116.88610048626305                         127 -49.705 0.0016666666666666668
7600 139.19986095999445 121.91478496201535                         127 -49.705 0.0016666666666666668
8100 139.19986095999445 126.49751179022836                         127 -49.705 0.0016666666666666668
8600 143.01089255804595 130.4253146681249                         -50 -50 0.0
9100 143.65420461662532 133.51301977844125                         -50 -50 0.0
9600 149.3672923300073 136.16814997261463                         -50 -50 0.0
10100 156.01748765509478 138.48037736614987                         -50 -50 0.0
10600 156.01748765509478 140.66771649597428                         -50 -50 0.0
11100 156.1384265658055 143.14805709890123                         143 -49.678333333333335 0.0016666666666666668
11600 158.13560441235953 145.45673606563426                         143 -49.678333333333335 0.0016666666666666668
12100 158.6305675160303 147.89483824733537                         143 -49.678333333333335 0.0016666666666666668
12600 159.30099585347153 150.34230723338905                         -50 -50 0.0
13100 159.30099585347153 152.66329710700398                         -50 -50 0.0
13600 159.88766720367002 154.42069133803932                         -50 -50 0.0
14100 159.9675309982677 155.66900279769212                         -50 -50 0.0
14600 161.48876057147646 156.70874637351312                         -50 -50 0.0
15100 162.82688449718924 157.5613685920637                         -50 -50 0.0
15600 164.11311425538346 158.4485494733301                         -50 -50 0.0
16100 164.28326743659423 159.19037148448663                         -50 -50 0.0
16600 164.67601407625463 159.91422883159265                         -50 -50 0.0
17100 165.62584744315643 160.78593644392618                         -50 -50 0.0
17600 167.1570747297671 161.52545230563476                         -50 -50 0.0
18100 167.27118983134102 162.18791860267703                         -50 -50 0.0
18600 167.55790665999587 162.75636074041705                         -50 -50 0.0
19100 168.96121700199677 163.43031662289187                         -50 -50 0.0
19600 171.25342281144296 164.1738552617939                         -50 -50 0.0
20100 171.25342281144296 164.9394059217541                         -50 -50 0.0
20600 171.25342281144296 165.7940566564149                         -50 -50 0.0
21100 174.2847388916606 166.74455125890157                         -50 -50 0.0
21600 174.2847388916606 167.7177549109155                         -50 -50 0.0
22100 174.3963183056309 168.7661868421114                         -50 -50 0.0
22600 175.2785499741189 169.6708332984581                         -50 -50 0.0
23100 176.63751074363196 170.63853553835276                         -50 -50 0.0
23600 176.63751074363196 171.68522533501294                         -50 -50 0.0
