177
[(94, 12, 3), (103, 20, 0), (90, 4, 3), (88, 24, 0), (113, 10, 3), (103, 27, 2), (112, 36, 0), (121, 27, 1), (106, 35, 1), (93, 7, 1), (113, 12, 1), (104, 15, 2), (108, 25, 1), (99, 31, 0), (114, 13, 2), (100, 36, 0), (111, 2, 3), (113, 27, 0), (94, 28, 0), (120, 15, 2)]
600 41                     -30.791666666666668 -50 -50 0.0
1100 52.20427873876625 -5.680575301603325                         -50 -50 0.0
1600 63.822828803371095 8.683195883834223                         26 -49.873333333333335 0.0016666666666666668
2100 63.822828803371095 21.39293050645481                         26 -49.75 0.0033333333333333335
2600 74.76196849561248 33.82880617005775                         49 -49.43666666666667 0.006666666666666667
3100 87.7512438852164 45.8594329666904                         49 -49.54833333333333 0.005
3600 87.7512438852164 56.34515361227199                         74 -49.44833333333333 0.005
4100 95.38720387762261 65.90431102989605                         76 -49.388333333333335 0.005
4600 99.58242380685222 74.33128559704863                         76 -49.178333333333335 0.006666666666666667
5100 110.73917896702913 81.9870568596464                         99 -48.885 0.008333333333333333
5600 114.48154891599448 88.94637756261014                         100 -49.055 0.006666666666666667
6100 117.04762802173107 95.6926294039981                         100 -49.501666666666665 0.0033333333333333335
6600 123.06529581121171 102.84801221889553                         100 -49.251666666666665 0.005
7100 129.60022707558505 108.76900839653983                         100 -49.5 0.0033333333333333335
7600 139.06162544210446 113.87488571223875                         123 -49.711666666666666 0.0016666666666666668
8100 139.06162544210446 118.57267841890483                         123 -49.711666666666666 0.0016666666666666668
8600 143.51457892346176 123.94298333255054                         123 -49.711666666666666 0.0016666666666666668
9100 144.74289112964007 128.96137624574868                         123 -49.711666666666666 0.0016666666666666668
9600 150.28611426103134 133.83380887966007                         -50 -50 0.0
10100 150.28611426103134 137.9650164769493                         -50 -50 0.0
10600 151.87539447865805 141.57511927970893                         -50 -50 0.0
11100 152.70943313764408 144.47437361077172                         -50 -50 0.0
11600 153.70354696780598 147.27578690565707                         -50 -50 0.0
12100 155.31803663515026 149.4653767626249                         -50 -50 0.0
12600 155.8523020201704 151.0910127710715                         -50 -50 0.0
13100 156.29089459601553 152.31406059886788                         -50 -50 0.0
13600 158.6647341564157 153.223986870762                         -50 -50 0.0
14100 158.6647341564157 153.97098563241786                         -50 -50 0.0
14600 158.6647341564157 154.7557282546865                         -50 -50 0.0
15100 160.0 155.50296953067132                         160 -49.65 0.0016666666666666668
15600 160.8886719236694 156.16883498224954                         160 -49.65 0.0016666666666666668
16100 160.8886719236694 156.8420262867249                         160 -48.96 0.005
16600 161.768145135472 157.48202192331627                         160 -48.61 0.006666666666666667
17100 164.0216386357467 158.04316280655937                         160 -48.26166666666666 0.008333333333333333
17600 164.51794758234408 158.60334841178147                         162 -48.598333333333336 0.006666666666666667
18100 164.51794758234408 159.15374448040694                         162 -48.25 0.008333333333333333
18600 165.41831508619407 159.70027576763297                         162 -47.20333333333333 0.013333333333333334
19100 165.41831508619407 160.3054874941209                         162 -47.9 0.01
19600 165.95961652234968 160.89647247125606                         162 -48.94833333333333 0.005
20100 166.69740914669725 161.4952240371342                         162 -49.64666666666667 0.0016666666666666668
20600 166.69740914669725 162.21042972077188                         162 -49.64666666666667 0.0016666666666666668
21100 166.73291936336173 163.0143903520071                         162 -49.64666666666667 0.0016666666666666668
21600 167.08414745184731 163.81924659277053                         -50 -50 0.0
22100 167.08414745184731 164.567469927455                         -50 -50 0.0
22600 168.02910341524986 165.19527888620283                         -50 -50 0.0
23100 168.02910341524986 165.61462959319405                         -50 -50 0.0
23600 170.3969579054313 166.05603208102312                         -50 -50 0.0
24100 170.3969579054313 166.4506902875189                         -50 -50 0.0
24600 170.691013369999 166.93528506675761                         -50 -50 0.0
25100 170.691013369999 167.2962931857881                         -50 -50 0.0
25600 173.97156617412264 167.75480774968815                         -50 -50 0.0
26100 173.97156617412264 168.31793083533847                         -50 -50 0.0
26600 173.97156617412264 168.9188000409998                         -50 -50 0.0
27100 173.97156617412264 169.66170600438443                         -50 -50 0.0
27600 173.97156617412264 170.2643078158153                         -50 -50 0.0
28100 173.97156617412264 170.87042149956298                         -50 -50 0.0
28600 174.26190652238955 171.40703688267567                         -50 -50 0.0
29100 174.26190652238955 171.8937016211719                         -50 -50 0.0
29600 174.26190652238955 172.2712291127297                         -50 -50 0.0
30100 174.62388347275578 172.54969246677683                         -50 -50 0.0
30600 175.46903619545918 172.82975308424352                         -50 -50 0.0
31100 175.46903619545918 173.0265487694392                         -50 -50 0.0
31600 175.46903619545918 173.20982398536788                         174 -49.25333333333333 0.0033333333333333335
32100 175.46903619545918 173.43420543175347                         174 -48.88 0.005
32600 175.8248342233124 173.57872744406205                         175 -46.635 0.015
33100 175.8248342233124 173.8274065858592                         175 -42.141666666666666 0.035
33600 176.60653151943617 174.07655819175093                         175 -35.39333333333333 0.065
34100 176.61830471174292 174.38755786985868                         175 -27.516666666666666 0.1
34600 176.61830471174292 174.70347508090092                         175 -21.89 0.125
35100 176.61830471174292 175.09666639977073                         175 -23 0.12
35600 176.62477501452207 175.4887358040256                         175 -34.25 0.07
36100 176.62477501452207 175.83250269271488                         175 -48.875 0.005
36600 176.62477501452207 176.0172406518191                         -50 -50 0.0
37100 176.62477501452207 176.20972972592585                         -50 -50 0.0
37600 176.62477501452207 176.384307470393                         -50 -50 0.0
38100 176.62477501452207 176.50430476914423                         -50 -50 0.0
38600 176.62477501452207 176.56745407556932                         -50 -50 0.0
39100 176.62477501452207 176.58679304301972                         -50 -50 0.0
39600 176.62477501452207 176.58918934460812                         -50 -50 0.0
40100 176.62477501452207 176.60076813338765                         -50 -50 0.0
40600 176.62477501452207 176.60851750618485                         -50 -50 0.0
41100 176.62477501452207 176.61161246273883                         -50 -50 0.0
41600 176.62477501452207 176.5987778457547                         -50 -50 0.0
42100 176.62477501452207 176.61712912506812                         -50 -50 0.0
42600 176.62562421381048 176.605889469229                         -50 -50 0.0
43100 176.62562421381048 176.61488042863138                         -50 -50 0.0
43600 176.62562421381048 176.61382896164534                         -50 -50 0.0
44100 176.62562421381048 176.62153640090594                         -50 -50 0.0
44600 176.62562421381048 176.62208795194854                         -50 -50 0.0
45100 176.62562421381048 176.62022148171496                         -50 -50 0.0
45600 176.62562421381048 176.62208606192198                         -50 -50 0.0
46100 176.63595707779535 176.6187547299303                         -50 -50 0.0
46600 176.63595707779535 176.62887741211296                         -50 -50 0.0
47100 176.63595707779535 176.63058736841737                         -50 -50 0.0
47600 176.63595707779535 176.63077531844192                         -50 -50 0.0
48100 176.63595707779535 176.62393888768565                         -50 -50 0.0
48600 176.63595707779535 176.62496827513777                         -50 -50 0.0
49100 176.63595707779535 176.61755230146764                         -50 -50 0.0
49600 176.63595707779535 176.62550915482547                         -50 -50 0.0
50100 176.63595707779535 176.5985196911667                         -50 -50 0.0
50600 176.63595707779535 176.6247133585139                         -50 -50 0.0
51100 176.63595707779535 176.61705555512313                         -50 -50 0.0
51600 176.63595707779535 176.62317115263482                         -50 -50 0.0
52100 176.63595707779535 176.62501382831567                         -50 -50 0.0
52600 176.63595707779535 176.61822471867725                         -50 -50 0.0
53100 176.63595707779535 176.61692057567834                         -50 -50 0.0
53600 176.63595707779535 176.62035837191175                         -50 -50 0.0
54100 176.63595707779535 176.62255467442301                         -50 -50 0.0
54600 176.63595707779535 176.63041068105653                         -50 -50 0.0
55100 176.6438677772049 176.6258049786791                         -50 -50 0.0
55600 176.6438677772049 176.62345706278398                         -50 -50 0.0
56100 176.6438677772049 176.6273505824211                         -50 -50 0.0
56600 176.6438677772049 176.63338147426737                         -50 -50 0.0
57100 176.6438677772049 176.63023257936135                         -50 -50 0.0
57600 176.6438677772049 176.61671182427358                         -50 -50 0.0
58100 176.6438677772049 176.62603837418106                         -50 -50 0.0
58600 177.0 176.6305698878131                         177 -49.62166666666667 0.0016666666666666668
59100 177.0 176.62769044651475                         177 -49.62166666666667 0.0016666666666666668
59600 177.0 176.62912214796523                         177 -49.62166666666667 0.0016666666666666668
60100 177.0 176.62616092098472                         177 -49.62166666666667 0.0016666666666666668
60600 177.0 176.63171718636866                         177 -48.486666666666665 0.006666666666666667
61100 177.0 176.63656262377046                         177 -46.21666666666667 0.016666666666666666
61600 177.0 176.64436373493632                         177 -41.67666666666667 0.03666666666666667
62100 177.0 176.65903948296025                         177 -32.596666666666664 0.07666666666666666
62600 177.0 176.69735098127504                         177 -9.14 0.18
63100 177.0 176.75172312404396                         177 31.72 0.36
63600 177.0 176.88473805783113                         177 103.98166666666667 0.6783333333333333
64100 177.0 176.97319081715028                         177 160.35333333333332 0.9266666666666666
64600 177.0 176.96917012379416                         177 173.97333333333333 0.9866666666666667
65100 177.0 176.99284272564563                         177 176.62166666666667 0.9983333333333333
65600 177.0 176.99814594713607                         177 176.62166666666667 0.9983333333333333
66100 177.0 177.0                         177 177 1.0
66600 177.0 176.99744417598387                         177 176.62166666666667 0.9983333333333333
67100 177.0 176.996223977936                         177 176.24333333333334 0.9966666666666667
67600 177.0 177.0                         177 177 1.0
68100 177.0 176.9910669541974                         177 175.48666666666668 0.9933333333333333
68600 177.0 176.99492186782854                         177 176.62166666666667 0.9983333333333333
