176
[(88, 0, 0), (74, 20, 2), (93, 15, 1), (108, 23, 3), (74, 23, 2), (77, 10, 1), (84, 25, 3), (100, 22, 0), (79, 0, 3), (75, 9, 1), (106, 6, 2), (98, 25, 3), (104, 14, 2), (83, 15, 1), (93, 29, 2), (103, 12, 2), (90, 22, 2), (79, 28, 0), (109, 34, 2), (88, 21, 1)]
600 47                     -29.748333333333335 -50 -50 0.0
1100 74.53129740760627 -5.402134478998878                         -50 -50 0.0
1600 78.22017320552048 10.67286629011941                         44 -49.843333333333334 0.0016666666666666668
2100 78.22017320552048 26.100297034658354                         44 -49.693333333333335 0.0033333333333333335
2600 86.98629904684283 40.7865479252962                         63 -49.32666666666667 0.006666666666666667
3100 99.36871544343146 53.26405044615515                         60 -49.163333333333334 0.008333333333333333
3600 99.36871544343146 63.708256915539934                         73 -48.928333333333335 0.01
4100 100.45200926374933 73.33489168949801                         73 -49.795 0.0016666666666666668
4600 113.52915705201184 81.69566875409343                         73 -49.795 0.0016666666666666668
5100 123.60146948634545 88.58700819950049                         -50 -50 0.0
5600 126.93491728901105 95.34558436012492                         -50 -50 0.0
6100 126.93491728901105 100.96351713395242                         -50 -50 0.0
6600 127.38467751373688 106.03277018771952                         -50 -50 0.0
7100 127.38467751373688 110.11558404812807                         113 -49.72833333333333 0.0016666666666666668
7600 128.8140027810979 113.28853353109409                         113 -49.72833333333333 0.0016666666666666668
8100 132.29257227377028 116.2553824219774                         113 -49.72833333333333 0.0016666666666666668
8600 135.02608912785072 119.05188958227444                         -50 -50 0.0
9100 139.78608324199544 122.05242521013295                         -50 -50 0.0
9600 147.70806602536845 124.59874108137606                         -50 -50 0.0
10100 147.70806602536845 126.99662273947393                         -50 -50 0.0
10600 147.70806602536845 128.9372547189527                         -50 -50 0.0
11100 147.70806602536845 130.69699603080298                         -50 -50 0.0
11600 147.70806602536845 132.36268608879755                         -50 -50 0.0
12100 147.70806602536845 134.14855965570885                         -50 -50 0.0
12600 148.69684928155985 135.95061669273997                         -50 -50 0.0
13100 150.30276619247192 137.84240948370342                         -50 -50 0.0
13600 153.5216866561465 139.78043648986602                         -50 -50 0.0
14100 153.5216866561465 141.8927710266086                         -50 -50 0.0
14600 153.5216866561465 143.9241859798669                         -50 -50 0.0
15100 155.4349472800829 145.93746262517786                         -50 -50 0.0
15600 158.2073031640844 147.8536416442886                         -50 -50 0.0
16100 161.55619982092347 150.1591238312471                         -50 -50 0.0
16600 165.0306351253891 152.6156768354101                         -50 -50 0.0
17100 165.0306351253891 155.2894146023112                         -50 -50 0.0
17600 165.13210654352625 157.68573964113443                         -50 -50 0.0
18100 167.43161421857818 159.95463477462192                         -50 -50 0.0
18600 167.43161421857818 161.957257962415                         -50 -50 0.0
19100 167.43161421857818 163.34624677729684                         -50 -50 0.0
19600 167.7083952697122 164.30864285774632                         167 -49.638333333333335 0.0016666666666666668
20100 168.43919245150593 165.02722978217454                         167 -49.638333333333335 0.0016666666666666668
20600 168.97225757495866 165.56822431441572                         167 -49.638333333333335 0.0016666666666666668
21100 168.97225757495866 166.0979715740164                         167 -48.915 0.005
21600 169.310432001611 166.52244736546905                         167 -48.19166666666667 0.008333333333333333
22100 169.6215837226697 167.0522477986353                         167 -48.19166666666667 0.008333333333333333
22600 169.6215837226697 167.5051191576777                         167 -48.19166666666667 0.008333333333333333
23100 169.8817666448289 167.94400336426756                         167 -49.276666666666664 0.0033333333333333335
23600 169.8968339543026 168.37819726535818                         -50 -50 0.0
24100 170.9007243087785 168.7423171982593                         -50 -50 0.0
24600 170.9007243087785 169.0645147510133                         -50 -50 0.0
25100 170.9007243087785 169.33989641095232                         -50 -50 0.0
25600 171.26134693335345 169.54434267631467                         -50 -50 0.0
26100 171.26134693335345 169.7359967223479                         -50 -50 0.0
