178
[(107, 20, 0), (122, 9, 1), (120, 39, 1), (108, 21, 1), (120, 2, 1), (91, 19, 2), (108, 27, 0), (93, 31, 2), (99, 0, 0), (106, 38, 1), (116, 30, 2), (119, 25, 1), (110, 20, 1), (105, 6, 1), (110, 8, 1), (103, 37, 0), (116, 21, 2), (105, 29, 2), (91, 12, 0), (115, 0, 0)]
600 30.4                     -39.748666666666665 -50 -50 0.0
1100 63.4 -18.995666666666665                         3 -49.91166666666667 0.0016666666666666668
1600 63.4 -5.328666666666666                         3 -49.91166666666667 0.0016666666666666668
2100 63.4 6.422000000000001                         3 -49.91166666666667 0.0016666666666666668
2600 63.4 16.095333333333333                         29 -49.78 0.0033333333333333335
3100 76.4 24.652333333333335                         34 -49.343333333333334 0.008333333333333333
3600 83.6 32.04633333333334                         34 -49.465 0.006666666666666667
4100 92.6 38.64                         56 -49.275 0.008333333333333333
4600 92.6 43.904                         56 -49.25333333333333 0.008333333333333333
5100 92.6 49.563                         68 -49.31 0.006666666666666667
5600 92.6 54.339666666666666                         68 -49.31 0.006666666666666667
6100 93.4 59.318666666666665                         68 -49.64 0.0033333333333333335
6600 93.4 63.784666666666666                         79 -49.211666666666666 0.006666666666666667
7100 104.6 67.716                         79 -49.403333333333336 0.005
7600 104.6 71.081                         82 -49.36833333333333 0.005
8100 104.6 74.17933333333333                         82 -49.16833333333334 0.006666666666666667
8600 104.6 77.15033333333334                         82 -48.93833333333333 0.008333333333333333
9100 104.8 80.051                         100 -48.67333333333333 0.01
9600 112.8 82.60033333333334                         100 -48.88 0.008333333333333333
10100 117.0 84.953                         100 -49.095 0.006666666666666667
10600 117.0 87.48366666666666                         100 -49.07833333333333 0.006666666666666667
11100 117.0 89.94966666666667                         100 -49.515 0.0033333333333333335
11600 117.0 91.99433333333333                         100 -49.265 0.005
12100 117.0 93.98666666666666                         100 -49.265 0.005
12600 118.0 96.15566666666666                         100 -48.766666666666666 0.008333333333333333
13100 120.4 98.381                         100 -48.766666666666666 0.008333333333333333
13600 124.8 100.36366666666666                         100 -49.001666666666665 0.006666666666666667
14100 124.8 102.35633333333334                         100 -49.001666666666665 0.006666666666666667
14600 124.8 104.11633333333333                         100 -49.251666666666665 0.005
15100 128.6 105.74866666666667                         115 -48.96666666666667 0.006666666666666667
15600 128.6 107.648                         115 -49.465 0.0033333333333333335
16100 128.6 109.225                         115 -49.19833333333333 0.005
16600 130.8 110.98066666666666                         115 -49.18333333333333 0.005
17100 130.8 112.36733333333333                         115 -49.18833333333333 0.005
17600 132.0 113.91766666666666                         115 -49.18333333333333 0.005
18100 133.0 115.16233333333334                         115 -49.18333333333333 0.005
18600 133.0 116.50533333333334                         121 -49.165 0.005
19100 136.2 117.726                         121 -49.44 0.0033333333333333335
19600 136.2 118.99033333333334                         121 -49.44 0.0033333333333333335
20100 136.2 120.30033333333333                         121 -49.43666666666667 0.0033333333333333335
20600 136.2 121.33166666666666                         125 -49.145 0.005
21100 136.2 122.23033333333333                         121 -49.715 0.0016666666666666668
21600 136.2 123.17533333333333                         121 -49.715 0.0016666666666666668
22100 139.6 124.125                         -50 -50 0.0
22600 139.6 125.31833333333333                         -50 -50 0.0
23100 140.6 126.384                         -50 -50 0.0
23600 141.4 127.21733333333333                         -50 -50 0.0
24100 141.4 127.88866666666667                         -50 -50 0.0
24600 150.2 128.60933333333332                         -50 -50 0.0
25100 150.2 129.26866666666666                         131 -49.69833333333333 0.0016666666666666668
25600 150.2 129.80933333333334                         131 -49.69833333333333 0.0016666666666666668
26100 150.2 130.53133333333332                         131 -49.69833333333333 0.0016666666666666668
26600 150.2 131.15166666666667                         134 -49.693333333333335 0.0016666666666666668
27100 150.2 131.92266666666666                         134 -49.693333333333335 0.0016666666666666668
27600 150.2 132.528                         134 -49.693333333333335 0.0016666666666666668
28100 150.2 133.23266666666666                         -50 -50 0.0
28600 150.2 133.964                         -50 -50 0.0
29100 150.6 134.67533333333333                         -50 -50 0.0
29600 150.6 135.14933333333335                         -50 -50 0.0
30100 150.6 135.54633333333334                         -50 -50 0.0
30600 150.6 136.27                         144 -49.67666666666667 0.0016666666666666668
31100 152.2 136.79433333333333                         144 -49.67666666666667 0.0016666666666666668
31600 152.2 137.25566666666666                         144 -49.67666666666667 0.0016666666666666668
32100 152.2 137.752                         144 -49.67666666666667 0.0016666666666666668
32600 152.2 138.25666666666666                         144 -49.67666666666667 0.0016666666666666668
33100 152.2 138.71666666666667                         144 -49.67666666666667 0.0016666666666666668
33600 152.2 139.38033333333334                         144 -49.67666666666667 0.0016666666666666668
34100 152.2 139.78266666666667                         144 -49.67666666666667 0.0016666666666666668
