171
[(88, 14, 1), (94, 3, 0), (85, 15, 1), (81, 27, 3), (91, 37, 0), (103, 16, 0), (100, 9, 0), (77, 0, 2), (89, 20, 0), (87, 22, 0), (115, 36, 1), (99, 20, 1), (105, 10, 3), (98, 34, 2), (90, 39, 3), (99, 23, 2), (111, 3, 3), (83, 29, 3), (80, 23, 0), (77, 9, 0)]
600 42.400000000000006                     -39.33233333333333 -50 -50 0.0
47600 161.6 151.91333333333333                         157 -49.655 0.0016666666666666668
48100 161.6 152.11533333333333                         157 -49.655 0.0016666666666666668
48600 161.6 152.60133333333334                         158 -49.30833333333333 0.0033333333333333335
49100 161.6 152.90133333333333                         158 -49.30833333333333 0.0033333333333333335
49600 161.6 153.27933333333334                         158 -49.30833333333333 0.0033333333333333335
50100 166.8 153.47333333333333                         158 -49.30833333333333 0.0033333333333333335
50600 166.8 153.75333333333333                         -50 -50 0.0
51100 166.8 154.16166666666666                         -50 -50 0.0
51600 166.8 154.529                         -50 -50 0.0
52100 166.8 154.89066666666668                         -50 -50 0.0
52600 166.8 155.178                         -50 -50 0.0
53100 166.8 155.57733333333334                         -50 -50 0.0
53600 166.8 155.79366666666667                         -50 -50 0.0
54100 166.8 156.08466666666666                         -50 -50 0.0
54600 166.8 156.352                         163 -49.645 0.0016666666666666668
55100 166.8 156.704                         163 -49.645 0.0016666666666666668
55600 166.8 156.85733333333334                         163 -49.645 0.0016666666666666668
56100 166.8 157.153                         154 -49.66 0.0016666666666666668
56600 166.8 157.476                         -50 -50 0.0
57100 166.8 157.85666666666665                         164 -49.64333333333333 0.0016666666666666668
57600 166.8 158.096                         165 -49.285 0.0033333333333333335
58100 166.8 158.44366666666667                         165 -48.585 0.006666666666666667
58600 166.8 158.70733333333334                         165 -48.585 0.006666666666666667
59100 166.8 158.92533333333333                         165 -48.585 0.006666666666666667
59600 166.8 159.273                         165 -47.515 0.011666666666666667
60100 166.8 159.46066666666667                         165 -46.806666666666665 0.015
60600 166.8 159.69433333333333                         165 -47.15833333333333 0.013333333333333334
61100 166.8 160.06766666666667                         165 -47.15833333333333 0.013333333333333334
61600 166.8 160.41966666666667                         165 -46.446666666666665 0.016666666666666666
62100 167.6 160.55                         165 -46.08166666666666 0.018333333333333333
62600 167.6 160.773                         165 -45.00666666666667 0.023333333333333334
63100 167.6 161.113                         165 -44.641666666666666 0.025
63600 167.6 161.34966666666668                         165 -43.571666666666665 0.03
64100 167.6 161.73                         165 -41.08 0.041666666666666664
64600 167.6 162.01866666666666                         165 -38.93666666666667 0.051666666666666666
65100 167.6 162.24433333333334                         165 -37.505 0.058333333333333334
65600 167.6 162.38733333333334                         165 -35.711666666666666 0.06666666666666667
66100 167.6 162.60733333333334                         165 -31.773333333333333 0.085
66600 168.8 162.82533333333333                         165 -28.558333333333334 0.1
67100 168.8 163.172                         165 -21.743333333333332 0.13166666666666665
67600 168.8 163.365                         165 -15.296666666666667 0.16166666666666665
68100 168.8 163.57166666666666                         166 -5.983333333333333 0.205
68600 168.8 163.74966666666668                         166 5.833333333333333 0.26
69100 168.8 164.097                         166 23.023333333333333 0.34
69600 168.8 164.20233333333334                         166 36.63166666666667 0.4033333333333333
70100 171.0 164.39600000000002                         171 52.07 0.475
70600 171.0 164.56233333333333                         171 72.85833333333333 0.5716666666666667
71100 171.0 164.68833333333333                         171 89.70666666666666 0.65
71600 171.0 164.839                         171 102.96833333333333 0.7116666666666667
72100 171.0 164.95466666666667                         171 113.39 0.76
72600 171.0 165.04866666666666                         171 122.385 0.8016666666666666
73100 171.0 165.103                         171 123.47666666666667 0.8066666666666666
73600 171.0 165.13833333333332                         171 123.50333333333333 0.8066666666666666
74100 171.0 165.17833333333334                         171 121.37333333333333 0.7966666666666666
74600 171.0 165.281                         171 122.12666666666667 0.8
75100 171.0 165.352                         171 115.71166666666667 0.77
75600 171.0 165.40066666666667                         171 111.79166666666667 0.7516666666666667
76100 171.0 165.56333333333333                         171 107.185 0.73
76600 171.0 165.622                         171 104.355 0.7166666666666667
77100 171.0 165.768                         171 92.23333333333333 0.66
77600 171.0 165.92566666666667                         171 85.11333333333333 0.6266666666666667
78100 171.0 166.076                         171 78.36833333333334 0.595
78600 171.0 166.273                         171 71.63166666666666 0.5633333333333334
79100 171.0 166.43366666666668                         171 64.91 0.5316666666666666
79600 171.0 166.69333333333333                         171 61.086666666666666 0.5133333333333333
80100 171.0 166.96466666666666                         171 51.83166666666666 0.47
80600 171.0 167.22466666666668                         171 41.84 0.42333333333333334
81100 171.0 167.49233333333333                         171 38.7 0.4083333333333333
81600 171.0 167.78233333333333                         171 29.87 0.36666666666666664
82100 171.0 168.01233333333334                         171 24.283333333333335 0.34
82600 171.0 168.242                         171 18.975 0.315
83100 171.0 168.59733333333332                         171 22.075 0.3283333333333333
83600 171.0 168.86966666666666                         171 33.53333333333333 0.38
84100 171.0 169.26733333333334                         171 48.28333333333333 0.44666666666666666
84600 171.0 169.47400000000002                         171 65.92 0.5266666666666666
85100 171.0 169.76233333333334                         171 88.03 0.6266666666666667
85600 171.0 169.99833333333333                         171 114.88166666666666 0.7483333333333333
86100 171.0 170.15166666666667                         171 135.48166666666665 0.8416666666666667
86600 171.0 170.32933333333332                         171 155.77333333333334 0.9333333333333333
87100 171.0 170.52966666666666                         171 163.95833333333334 0.97
87600 171.0 170.706                         171 167.79666666666665 0.9866666666666667
88100 171.0 170.849                         171 169.40166666666667 0.9933333333333333
88600 171.0 170.868                         171 166.185 0.9783333333333334
89100 171.0 170.964                         171 169.51666666666668 0.9933333333333333
89600 171.0 170.974                         171 169.89333333333335 0.995
90100 171.0 170.96166666666667                         171 169.52666666666667 0.9933333333333333
90600 171.0 170.973                         171 169.895 0.995
91100 171.0 170.94766666666666                         171 169.15 0.9916666666666667
91600 171.0 170.97866666666667                         171 169.895 0.995
92100 171.0 170.972                         171 169.52666666666667 0.9933333333333333
92600 171.0 170.988                         171 170.63166666666666 0.9983333333333333
93100 171.0 170.976                         171 170.26333333333332 0.9966666666666667
93600 171.0 170.95966666666666                         171 169.52666666666667 0.9933333333333333
94100 171.0 170.94966666666667                         171 169.15833333333333 0.9916666666666667
94600 171.0 170.996                         171 170.63166666666666 0.9983333333333333
95100 171.0 170.93233333333333                         171 168.79 0.99
95600 171.0 170.939                         171 168.79 0.99
96100 171.0 170.97                         171 169.52666666666667 0.9933333333333333
96600 171.0 170.979                         171 170.62833333333333 0.9983333333333333
97100 171.0 170.94033333333334                         171 169.895 0.995
97600 171.0 170.98433333333332                         171 170.26333333333332 0.9966666666666667
98100 171.0 170.91666666666666                         171 169.15833333333333 0.9916666666666667
98600 171.0 170.986                         171 170.63166666666666 0.9983333333333333
99100 171.0 170.978                         171 169.895 0.995
99600 171.0 170.933                         171 169.895 0.995
100100 171.6 170.96166666666667                         171 168.79 0.99
