172
[(102, 5, 3), (103, 20, 0), (115, 8, 2), (117, 24, 3), (102, 37, 2), (81, 12, 1), (106, 19, 3), (99, 26, 1), (91, 14, 3), (94, 35, 1), (85, 39, 0), (112, 6, 1), (92, 8, 2), (93, 2, 3), (106, 16, 0), (81, 18, 3), (98, 9, 3), (80, 25, 1), (115, 23, 1), (91, 31, 3)]
600 39.2                     -38.41733333333333 -50 -50 0.0
1100 39.2 -20.157999999999998                         -50 -50 0.0
1600 42.2 -6.844666666666666                         -50 -50 0.0
2100 51.0 4.749666666666668                         -50 -50 0.0
2600 69.2 14.333666666666668                         -50 -50 0.0
3100 69.2 22.360666666666667                         54 -49.596666666666664 0.005
3600 80.2 32.332                         59 -49.51 0.005
4100 80.2 40.85066666666667                         64 -49.29833333333333 0.006666666666666667
4600 84.2 47.62433333333333                         81 -48.623333333333335 0.013333333333333334
5100 87.2 53.455666666666666                         81 -48.00333333333333 0.018333333333333333
5600 93.6 58.41266666666667                         81 -48.66166666666667 0.011666666666666667
6100 93.6 63.547333333333334                         81 -48.641666666666666 0.011666666666666667
6600 109.6 67.89466666666667                         85 -48.525 0.011666666666666667
7100 109.6 71.85866666666666                         85 -48.715 0.01
7600 109.6 75.849                         94 -48.68833333333333 0.01
8100 109.6 79.586                         94 -48.443333333333335 0.011666666666666667
8600 109.6 82.97466666666666                         95 -48.20166666666667 0.013333333333333334
9100 109.6 86.085                         103 -48.16 0.013333333333333334
9600 109.6 88.75766666666667                         103 -48.373333333333335 0.011666666666666667
10100 112.0 91.236                         103 -48.56 0.01
10600 117.0 93.44166666666666                         103 -49.25333333333333 0.005
11100 117.0 96.06733333333334                         111 -48.485 0.01
11600 119.4 98.13633333333334                         111 -48.24166666666667 0.011666666666666667
12100 119.4 99.967                         111 -48.23833333333334 0.011666666666666667
12600 129.0 101.89633333333333                         111 -48.718333333333334 0.008333333333333333
13100 129.0 103.70733333333334                         116 -48.69166666666667 0.008333333333333333
13600 129.6 105.83133333333333                         116 -48.665 0.008333333333333333
14100 129.6 107.51933333333334                         116 -48.665 0.008333333333333333
14600 129.6 109.07966666666667                         116 -48.651666666666664 0.008333333333333333
15100 130.0 110.614                         116 -48.92 0.006666666666666667
15600 130.0 112.364                         120 -48.63666666666666 0.008333333333333333
16100 132.2 113.955                         120 -48.37166666666667 0.01
16600 139.6 115.49666666666667                         120 -48.37166666666667 0.01
17100 139.6 117.00466666666667                         120 -49.17 0.005
17600 139.6 118.30533333333334                         120 -49.15833333333333 0.005
18100 139.6 119.66066666666667                         120 -49.15833333333333 0.005
18600 144.4 121.06033333333333                         120 -49.435 0.0033333333333333335
19100 144.4 122.04966666666667                         120 -49.435 0.0033333333333333335
19600 144.4 123.20433333333334                         120 -49.435 0.0033333333333333335
20100 144.4 124.28033333333333                         120 -49.435 0.0033333333333333335
20600 144.4 125.505                         -50 -50 0.0
21100 144.4 126.673                         131 -49.69833333333333 0.0016666666666666668
21600 144.4 127.703                         131 -49.69833333333333 0.0016666666666666668
22100 144.4 128.93566666666666                         134 -49.391666666666666 0.0033333333333333335
22600 144.4 129.55366666666666                         134 -49.391666666666666 0.0033333333333333335
23100 144.4 130.34066666666666                         134 -49.391666666666666 0.0033333333333333335
23600 144.4 131.048                         134 -49.391666666666666 0.0033333333333333335
24100 144.4 131.84                         134 -49.391666666666666 0.0033333333333333335
24600 144.4 132.49266666666668                         134 -49.391666666666666 0.0033333333333333335
25100 144.4 133.12933333333334                         134 -49.391666666666666 0.0033333333333333335
25600 145.0 133.98066666666668                         134 -49.391666666666666 0.0033333333333333335
26100 145.4 134.64233333333334                         134 -49.693333333333335 0.0016666666666666668
26600 146.8 135.42866666666666                         134 -49.693333333333335 0.0016666666666666668
27100 146.8 136.07766666666666                         134 -49.693333333333335 0.0016666666666666668
27600 146.8 136.675                         134 -49.693333333333335 0.0016666666666666668
28100 151.6 137.37366666666668                         134 -49.693333333333335 0.0016666666666666668
28600 151.6 138.049                         134 -49.693333333333335 0.0016666666666666668
29100 153.6 138.51766666666666                         -50 -50 0.0
29600 153.6 139.192                         -50 -50 0.0
30100 153.6 139.537                         -50 -50 0.0
30600 153.6 140.23033333333333                         -50 -50 0.0
31100 153.6 140.74                         147 -49.67166666666667 0.0016666666666666668
31600 153.6 141.23966666666666                         147 -49.67166666666667 0.0016666666666666668
32100 153.6 141.669                         147 -49.67166666666667 0.0016666666666666668
