175
[(135, 14, 3), (117, 24, 2), (110, 39, 2), (130, 24, 1), (114, 20, 0), (125, 36, 0), (102, 2, 3), (111, 20, 2), (115, 27, 0), (112, 22, 1), (126, 16, 2), (109, 30, 3), (119, 13, 0), (108, 11, 2), (130, 31, 2), (134, 11, 0), (100, 39, 2), (130, 27, 1), (118, 5, 0), (135, 30, 3)]
600 47.6                     -38.78766666666667 -50 -50 0.0
1100 47.6 -17.123666666666665                         -50 -50 0.0
1600 78.6 -2.7586666666666657                         38 -49.733333333333334 0.0033333333333333335
2100 78.6 9.046333333333335                         38 -49.733333333333334 0.0033333333333333335
2600 78.6 20.203666666666667                         38 -49.733333333333334 0.0033333333333333335
3100 78.6 29.28966666666667                         38 -49.733333333333334 0.0033333333333333335
3600 81.0 37.404                         38 -49.593333333333334 0.005
4100 82.0 43.909666666666666                         38 -49.85333333333333 0.0016666666666666668
4600 84.4 50.53333333333333                         58 -49.82 0.0016666666666666668
5100 88.0 55.82                         58 -49.468333333333334 0.005
5600 94.6 60.731                         78 -48.7 0.011666666666666667
6100 101.0 65.355                         78 -48.821666666666665 0.01
6600 101.0 69.336                         78 -49.18 0.006666666666666667
7100 105.4 72.895                         78 -49.18 0.006666666666666667
7600 111.8 76.57466666666667                         89 -48.70666666666666 0.01
8100 111.8 79.75766666666667                         89 -48.695 0.01
8600 111.8 82.86833333333334                         89 -49.11666666666667 0.006666666666666667
9100 111.8 85.638                         95 -49.08833333333333 0.006666666666666667
9600 118.4 88.30966666666667                         97 -49.06 0.006666666666666667
10100 127.0 90.898                         97 -48.343333333333334 0.011666666666666667
10600 127.0 93.373                         97 -48.803333333333335 0.008333333333333333
11100 127.0 95.744                         97 -48.79 0.008333333333333333
11600 120.2 97.928                         97 -49.028333333333336 0.006666666666666667
12100 120.2 99.887                         104 -48.53 0.01
12600 121.2 101.60833333333333                         109 -48.74166666666667 0.008333333333333333
13100 126.0 103.688                         109 -49.22666666666667 0.005
13600 128.4 105.29266666666666                         109 -49.47833333333333 0.0033333333333333335
14100 128.4 106.735                         109 -49.47833333333333 0.0033333333333333335
14600 128.4 108.257                         109 -49.47833333333333 0.0033333333333333335
15100 132.4 109.62633333333333                         122 -49.44833333333333 0.0033333333333333335
15600 132.4 111.29266666666666                         122 -48.89833333333333 0.006666666666666667
16100 132.4 112.752                         122 -48.89833333333333 0.006666666666666667
16600 132.4 114.09                         122 -49.163333333333334 0.005
17100 132.4 115.68666666666667                         126 -48.87 0.006666666666666667
17600 132.4 116.913                         126 -48.87 0.006666666666666667
18100 133.8 117.97633333333333                         126 -48.87 0.006666666666666667
18600 135.6 118.77333333333333                         126 -48.87 0.006666666666666667
19100 135.6 119.73966666666666                         126 -48.85166666666667 0.006666666666666667
19600 136.2 120.77533333333334                         126 -48.85166666666667 0.006666666666666667
20100 140.0 121.638                         126 -48.85166666666667 0.006666666666666667
20600 140.6 122.53                         124 -49.42333333333333 0.0033333333333333335
21100 140.6 123.44533333333334                         124 -49.71 0.0016666666666666668
21600 140.6 124.255                         130 -49.41 0.0033333333333333335
22100 141.0 125.25333333333333                         130 -49.111666666666665 0.005
22600 142.0 126.09966666666666                         130 -49.111666666666665 0.005
23100 147.0 126.888                         130 -49.401666666666664 0.0033333333333333335
23600 147.0 127.916                         130 -49.401666666666664 0.0033333333333333335
24100 147.0 128.73233333333334                         129 -49.70166666666667 0.0016666666666666668
24600 147.0 129.44733333333335                         129 -49.70166666666667 0.0016666666666666668
25100 147.0 130.46366666666665                         129 -49.70166666666667 0.0016666666666666668
25600 147.0 131.48233333333334                         129 -49.70166666666667 0.0016666666666666668
