173
[(118, 30, 3), (105, 32, 3), (110, 26, 1), (129, 12, 2), (128, 23, 0), (101, 6, 0), (124, 28, 3), (91, 37, 3), (112, 32, 3), (100, 0, 3), (99, 9, 0), (98, 30, 0), (112, 13, 0), (108, 15, 3), (120, 19, 3), (100, 15, 3), (122, 2, 3), (100, 38, 1), (129, 22, 2), (116, 10, 3)]
600 36.8                     -38.302 -50 -50 0.0
1100 36.8 -17.387666666666664                         -50 -50 0.0
1600 65.0 -3.283999999999999                         13 -49.895 0.0016666666666666668
2100 65.0 8.231666666666667                         14 -49.788333333333334 0.0033333333333333335
2600 65.0 17.743333333333332                         14 -49.68333333333333 0.005
3100 92.6 26.613333333333333                         43 -49.528333333333336 0.006666666666666667
3600 96.2 35.7                         43 -49.71333333333333 0.0033333333333333335
4100 99.0 44.04533333333333                         58 -49.53333333333333 0.005
4600 104.8 51.034                         58 -49.516666666666666 0.005
5100 104.8 57.578                         60 -49.63666666666666 0.0033333333333333335
5600 104.8 63.80833333333333                         60 -49.46 0.005
6100 104.8 69.83566666666667                         58 -49.82 0.0016666666666666668
6600 105.6 75.15133333333333                         78 -49.596666666666664 0.0033333333333333335
7100 119.4 79.90633333333334                         78 -49.78666666666667 0.0016666666666666668
7600 119.4 84.231                         78 -49.78666666666667 0.0016666666666666668
8100 119.4 87.962                         98 -49.54 0.0033333333333333335
8600 128.0 91.226                         98 -49.75333333333333 0.0016666666666666668
9100 128.0 94.346                         106 -49.25333333333333 0.005
9600 131.2 97.35033333333334                         106 -49.25333333333333 0.005
10100 131.2 100.08766666666666                         106 -49.49333333333333 0.0033333333333333335
10600 134.0 103.077                         134 -49.17333333333333 0.005
11100 137.2 105.78533333333333                         134 -49.17333333333333 0.005
11600 137.2 108.485                         134 -48.925 0.006666666666666667
12100 139.4 111.234                         134 -48.903333333333336 0.006666666666666667
12600 139.4 113.657                         134 -49.43333333333333 0.0033333333333333335
13100 139.4 115.84133333333334                         134 -49.413333333333334 0.0033333333333333335
13600 139.4 118.03833333333333                         134 -49.413333333333334 0.0033333333333333335
14100 141.0 120.08                         134 -49.13166666666667 0.005
14600 141.0 122.09033333333333                         134 -49.413333333333334 0.0033333333333333335
15100 144.0 123.91766666666666                         134 -49.693333333333335 0.0016666666666666668
15600 144.0 125.77433333333333                         134 -49.693333333333335 0.0016666666666666668
16100 144.0 126.994                         134 -49.693333333333335 0.0016666666666666668
16600 144.0 128.23566666666667                         134 -49.693333333333335 0.0016666666666666668
17100 146.8 129.57866666666666                         134 -49.693333333333335 0.0016666666666666668
17600 146.8 130.76366666666667                         134 -49.693333333333335 0.0016666666666666668
18100 147.8 131.77966666666666                         134 -49.693333333333335 0.0016666666666666668
18600 147.8 132.77833333333334                         134 -49.693333333333335 0.0016666666666666668
19100 147.8 133.85166666666666                         134 -49.693333333333335 0.0016666666666666668
19600 151.6 134.98866666666666                         142 -49.373333333333335 0.0033333333333333335
20100 151.6 135.669                         142 -49.373333333333335 0.0033333333333333335
20600 151.6 136.34633333333332                         142 -49.373333333333335 0.0033333333333333335
21100 151.6 137.31833333333333                         142 -49.373333333333335 0.0033333333333333335
21600 151.6 137.976                         142 -49.68 0.0016666666666666668
22100 151.6 138.65466666666666                         142 -49.68 0.0016666666666666668
22600 151.6 139.35033333333334                         -50 -50 0.0
23100 151.6 139.74833333333333                         -50 -50 0.0
23600 151.8 140.477                         -50 -50 0.0
24100 152.2 141.21566666666666                         -50 -50 0.0
24600 157.2 141.68033333333332                         -50 -50 0.0
25100 157.6 142.39233333333334                         -50 -50 0.0
25600 157.6 143.064                         -50 -50 0.0
26100 157.6 143.508                         -50 -50 0.0
26600 157.6 144.024                         -50 -50 0.0
27100 158.0 144.90633333333332                         -50 -50 0.0
27600 158.0 145.446                         -50 -50 0.0
28100 158.0 145.838                         -50 -50 0.0
28600 158.0 146.383                         -50 -50 0.0
29100 158.0 146.80833333333334                         -50 -50 0.0
29600 158.0 147.304                         -50 -50 0.0
30100 158.0 147.63633333333334                         -50 -50 0.0
30600 158.0 147.94666666666666                         -50 -50 0.0
31100 159.6 148.46466666666666                         -50 -50 0.0
31600 159.8 148.835                         -50 -50 0.0
32100 159.8 149.38                         -50 -50 0.0
32600 159.8 149.66066666666666                         155 -49.65833333333333 0.0016666666666666668
33100 160.4 150.07033333333334                         155 -49.325 0.0033333333333333335
33600 160.4 150.18333333333334                         156 -48.98166666666667 0.005
34100 160.4 150.63                         156 -48.64 0.006666666666666667
34600 160.6 150.94533333333334                         156 -48.973333333333336 0.005
35100 160.6 151.289                         156 -48.973333333333336 0.005
35600 161.8 151.566                         156 -48.973333333333336 0.005
36100 161.8 151.89333333333335                         156 -48.973333333333336 0.005
36600 161.8 152.36633333333333                         156 -48.973333333333336 0.005
37100 163.0 152.71466666666666                         156 -48.973333333333336 0.005
37600 163.0 152.976                         163 -48.61833333333333 0.006666666666666667
38100 164.6 153.379                         163 -48.275 0.008333333333333333
38600 164.6 153.64766666666668                         163 -48.275 0.008333333333333333
39100 164.6 154.00033333333334                         163 -47.92333333333333 0.01
39600 164.6 154.37266666666667                         163 -48.266666666666666 0.008333333333333333
40100 164.6 154.848                         163 -47.92 0.01
40600 164.6 155.479                         163 -47.92 0.01
41100 164.6 155.783                         163 -47.91166666666667 0.01
41600 164.6 156.23566666666667                         163 -47.56666666666667 0.011666666666666667
42100 167.6 156.719                         163 -47.221666666666664 0.013333333333333334
42600 167.6 157.233                         163 -46.87 0.015
43100 167.6 157.61433333333332                         163 -47.20666666666666 0.013333333333333334
43600 167.8 158.225                         163 -47.556666666666665 0.011666666666666667
44100 167.8 158.63466666666667                         163 -47.545 0.011666666666666667
44600 167.8 159.149                         163 -47.545 0.011666666666666667
45100 167.8 159.606                         163 -47.545 0.011666666666666667
45600 168.8 160.083                         163 -47.545 0.011666666666666667
46100 168.8 160.49833333333333                         163 -47.89 0.01
46600 168.8 161.071                         163 -47.89 0.01
47100 168.8 161.70566666666667                         163 -48.236666666666665 0.008333333333333333
47600 168.8 162.33966666666666                         167 -48.22666666666667 0.008333333333333333
48100 168.8 162.641                         167 -48.57833333333333 0.006666666666666667
48600 168.8 163.10933333333332                         168 -47.501666666666665 0.011666666666666667
49100 169.8 163.58166666666668                         168 -47.49166666666667 0.011666666666666667
49600 169.8 164.07633333333334                         168 -47.47666666666667 0.011666666666666667
50100 169.8 164.42566666666667                         168 -46.38333333333333 0.016666666666666666
50600 169.8 164.73066666666668                         169 -44.931666666666665 0.023333333333333334
51100 171.0 165.074                         171 -43.47666666666667 0.03
51600 171.0 165.334                         171 -43.83833333333333 0.028333333333333332
52100 171.0 165.71266666666668                         171 -42.388333333333335 0.035
52600 171.0 166.05833333333334                         171 -39.471666666666664 0.04833333333333333
53100 171.0 166.36666666666667                         171 -38.37 0.05333333333333334
53600 171.0 166.69366666666667                         171 -37.998333333333335 0.055
54100 171.0 167.047                         171 -35.075 0.06833333333333333
54600 171.0 167.29733333333334                         171 -33.233333333333334 0.07666666666666666
55100 172.0 167.56066666666666                         172 -29.218333333333334 0.095
55600 172.0 167.929                         172 -24.453333333333333 0.11666666666666667
56100 172.0 168.23933333333335                         172 -18.966666666666665 0.14166666666666666
56600 172.0 168.54066666666668                         172 -13.453333333333333 0.16666666666666666
57100 173.0 168.81966666666668                         173 -4.27 0.20833333333333334
57600 173.0 169.00966666666667                         173 0.8833333333333333 0.23166666666666666
58100 173.0 169.281                         173 6.826666666666667 0.25833333333333336
58600 173.0 169.56533333333334                         173 14.991666666666667 0.295
59100 173.0 169.74033333333333                         173 24.231666666666666 0.33666666666666667
59600 173.0 169.94566666666668                         173 40.82666666666667 0.4116666666666667
60100 173.0 170.19766666666666                         173 55.251666666666665 0.4766666666666667
60600 173.0 170.37966666666668                         173 72.95666666666666 0.5566666666666666
61100 173.0 170.62166666666667                         173 93.27833333333334 0.6483333333333333
61600 173.0 170.85366666666667                         173 123.16833333333334 0.7833333333333333
62100 173.0 170.97533333333334                         173 139.10833333333332 0.855
62600 173.0 171.155                         173 152.10333333333332 0.9133333333333333
63100 173.0 171.28266666666667                         173 160.675 0.9516666666666667
63600 173.0 171.38133333333334                         173 163.355 0.9633333333333334
64100 173.0 171.52033333333333                         173 167.13833333333332 0.98
64600 173.0 171.631                         173 165.415 0.9716666666666667
65100 173.0 171.808                         173 168.52333333333334 0.985
65600 173.0 171.94466666666668                         173 170.135 0.9916666666666667
66100 173.0 171.975                         173 169.83333333333334 0.99
66600 173.0 172.01533333333333                         173 169.865 0.99
67100 173.0 172.09233333333333                         173 170.645 0.9933333333333333
67600 173.0 172.16466666666668                         173 171.06666666666666 0.995
68100 173.0 172.21                         173 170.38666666666666 0.9916666666666667
68600 173.0 172.259                         173 171.185 0.995
69100 173.0 172.36566666666667                         173 171.27166666666668 0.995
69600 173.0 172.49266666666668                         173 170.68166666666667 0.9916666666666667
70100 173.0 172.66233333333332                         173 171.585 0.995
70600 173.0 172.84766666666667                         173 172.48 0.9983333333333333
71100 173.0 172.93466666666666                         173 171.83166666666668 0.995
71600 173.0 172.91433333333333                         173 170.39333333333335 0.9883333333333333
72100 173.0 172.964                         173 172.25666666666666 0.9966666666666667
72600 173.0 172.96                         173 171.51333333333332 0.9933333333333333
73100 173.0 172.94433333333333                         173 170.39833333333334 0.9883333333333333
73600 173.0 172.97433333333333                         173 171.885 0.995
74100 173.0 172.94866666666667                         173 170.39833333333334 0.9883333333333333
74600 173.0 172.91566666666668                         173 169.655 0.985
75100 173.0 172.956                         173 171.885 0.995
75600 173.0 172.89766666666668                         173 169.655 0.985
76100 173.0 172.897                         173 171.14 0.9916666666666667
76600 173.0 172.98233333333334                         173 171.88333333333333 0.995
77100 173.0 172.96366666666665                         173 172.6 0.9983333333333333
77600 173.0 172.913                         173 170.77 0.99
78100 173.0 172.988                         173 172.25666666666666 0.9966666666666667
78600 173.0 172.982                         173 171.885 0.995
79100 173.0 172.98666666666668                         173 171.88166666666666 0.995
79600 173.0 172.90666666666667                         173 170.39833333333334 0.9883333333333333
80100 173.0 172.994                         173 172.62833333333333 0.9983333333333333
80600 173.0 172.93066666666667                         173 172.23333333333332 0.9966666666666667
81100 173.0 172.925                         173 171.50166666666667 0.9933333333333333
81600 173.0 172.95033333333333                         173 171.87666666666667 0.995
82100 173.0 172.947                         173 170.39833333333334 0.9883333333333333
82600 173.0 172.99                         173 172.99 1.0
83100 173.0 172.98366666666666                         173 172.62833333333333 0.9983333333333333
83600 173.0 172.988                         173 172.62833333333333 0.9983333333333333
84100 173.0 172.982                         173 172.25666666666666 0.9966666666666667
84600 173.0 172.94366666666667                         173 171.14166666666668 0.9916666666666667
85100 173.0 172.962                         173 171.14166666666668 0.9916666666666667
85600 173.0 172.98                         173 171.885 0.995
86100 173.0 172.93133333333333                         173 171.885 0.995
86600 173.0 172.964                         173 171.50833333333333 0.9933333333333333
87100 173.0 173.0                         173 173 1.0
87600 173.0 172.994                         173 171.885 0.995
88100 173.0 172.972                         173 171.885 0.995
88600 173.0 172.964                         173 171.885 0.995
89100 173.0 172.976                         173 172.25666666666666 0.9966666666666667
89600 173.0 172.998                         173 172.62833333333333 0.9983333333333333
90100 173.0 172.982                         173 172.25666666666666 0.9966666666666667
90600 173.0 172.972                         173 171.885 0.995
91100 173.0 172.998                         173 172.62833333333333 0.9983333333333333
91600 173.0 172.962                         173 171.885 0.995
92100 173.0 172.984                         173 172.25666666666666 0.9966666666666667
92600 173.0 172.94866666666667                         173 171.5 0.9933333333333333
93100 173.0 172.96766666666667                         173 171.505 0.9933333333333333
93600 173.0 172.95666666666668                         173 171.51333333333332 0.9933333333333333
94100 173.0 172.976                         173 172.25666666666666 0.9966666666666667
94600 173.0 172.93633333333332                         173 171.51333333333332 0.9933333333333333
95100 173.0 172.964                         173 171.885 0.995
95600 173.0 173.0                         173 173 1.0
96100 173.0 172.961                         173 171.13666666666666 0.9916666666666667
96600 173.0 172.974                         173 172.25666666666666 0.9966666666666667
97100 173.0 172.92766666666665                         173 170.77 0.99
97600 173.0 173.0                         173 173 1.0
98100 173.0 172.978                         173 171.885 0.995
98600 173.0 172.969                         173 172.255 0.9966666666666667
99100 173.0 172.96866666666668                         173 171.885 0.995
99600 173.0 172.962                         173 171.885 0.995
100100 173.0 172.94666666666666                         173 170.77 0.99
