60
[(170, 21, 2), (138, 23, 3), (176, 19, 1), (79, 0, 3), (68, 25, 0), (35, 31, 3), (48, 12, 1), (119, 28, 0), (164, 39, 1), (42, 30, 2), (159, 39, 0), (27, 28, 0), (55, 38, 1), (78, 27, 2), (147, 21, 2), (87, 3, 2), (90, 26, 1), (40, 9, 0), (67, 18, 3), (109, 0, 0)]
5000 95                     10.969 -50 -50 0.0
10000 95 20.6666                         -50 -50 0.0
15000 105 29.7198                         -50 -50 0.0
20000 105 38.3998                         -50 -50 0.0
25000 100 45.942                         -50 -50 0.0
30000 108 52.9058                         -50 -50 0.0
35000 115 58.9152                         60 -49.978 0.0002
40000 115 65.0652                         -50 -50 0.0
45000 116 70.529                         -50 -50 0.0
50000 117 75.7606                         -50 -50 0.0
55000 127 80.8364                         -50 -50 0.0
60000 131 85.4282                         -50 -50 0.0
65000 133 89.8168                         -50 -50 0.0
70000 133 93.9632                         -50 -50 0.0
75000 136 97.823                         -50 -50 0.0
80000 138 101.7058                         -50 -50 0.0
85000 141 105.282                         -50 -50 0.0
90000 146 108.6218                         -50 -50 0.0
95000 146 111.9576                         -50 -50 0.0
100000 146 115.008                         -50 -50 0.0
