77
[(159, 33, 1), (124, 10, 1), (109, 20, 3), (52, 17, 2), (80, 12, 3), (144, 36, 0), (96, 31, 1), (62, 17, 1), (86, 21, 3), (33, 10, 0), (109, 35, 1), (62, 1, 3), (61, 8, 0), (58, 5, 3), (77, 22, 2), (104, 14, 0), (163, 23, 3), (30, 8, 1), (114, 0, 3), (74, 30, 3)]
5000 77                     10.6858 -50 -50 0.0
10000 82 20.7816                         26 -49.9848 0.0002
15000 100 29.5906                         25 -49.9716 0.0004
20000 101 37.9646                         -50 -50 0.0
25000 119 45.5716                         67 -49.9766 0.0002
30000 119 52.4004                         67 -49.9766 0.0002
35000 119 58.721                         -50 -50 0.0
40000 124 64.614                         64 -49.9772 0.0002
45000 124 70.1172                         -50 -50 0.0
50000 124 75.2354                         77 -49.9746 0.0002
55000 126 80.2142                         77 -49.9746 0.0002
60000 136 85.3178                         77 -49.9746 0.0002
65000 136 89.9208                         -50 -50 0.0
70000 136 94.1586                         -50 -50 0.0
75000 140 98.4508                         -50 -50 0.0
80000 145 102.3246                         -50 -50 0.0
85000 145 106.012                         -50 -50 0.0
90000 145 109.4878                         -50 -50 0.0
95000 149 113.0588                         -50 -50 0.0
100000 149 116.4696                         -50 -50 0.0
