111
[(57, 33, 1), (109, 23, 3), (118, 4, 3), (106, 15, 2), (104, 28, 1), (51, 14, 2), (85, 23, 2), (73, 34, 3), (67, 34, 3), (98, 19, 2), (115, 13, 1), (68, 14, 2), (65, 0, 3), (55, 22, 3), (89, 23, 3), (144, 21, 3), (114, 1, 1), (69, 31, 1), (87, 30, 0), (143, 14, 0)]
5000 81                     10.7718 -50 -50 0.0
10000 89 21.367                         28 -49.9602 0.0006
15000 101 30.4882                         28 -49.9712 0.0004
20000 123 38.8898                         29 -49.9842 0.0002
25000 123 46.587                         -50 -50 0.0
30000 123 53.3414                         -50 -50 0.0
35000 129 59.4786                         50 -49.98 0.0002
40000 129 65.4472                         -50 -50 0.0
45000 134 70.954                         -50 -50 0.0
50000 138 76.189                         -50 -50 0.0
55000 138 81.2564                         -50 -50 0.0
60000 138 86.2746                         -50 -50 0.0
65000 138 91.1176                         -50 -50 0.0
70000 141 95.4938                         111 -49.9678 0.0002
75000 144 99.5782                         111 -49.9678 0.0002
80000 146 103.314                         111 -49.9678 0.0002
85000 146 106.9068                         111 -49.9678 0.0002
90000 146 110.3266                         -50 -50 0.0
95000 147 113.4682                         -50 -50 0.0
100000 148 116.6812                         -50 -50 0.0
