58
[(120, 9, 0), (190, 4, 2), (176, 12, 1), (136, 3, 3), (164, 38, 3), (169, 18, 2), (60, 4, 0), (141, 19, 2), (119, 31, 3), (61, 8, 3), (196, 24, 0), (96, 29, 0), (96, 16, 1), (67, 30, 3), (156, 17, 3), (134, 12, 2), (178, 35, 1), (125, 8, 2), (54, 15, 3), (115, 22, 2)]
5000 79                     10.722 5 -49.989 0.0002
10000 79 20.4672                         58 -49.963 0.0004
15000 91 29.7422                         58 -49.926 0.0008
20000 100 38.3166                         58 -49.963 0.0004
25000 109 45.7382                         58 -49.9784 0.0002
30000 109 52.1524                         58 -49.9784 0.0002
35000 114 58.171                         -50 -50 0.0
40000 114 63.6032                         46 -49.9808 0.0002
45000 114 68.7608                         -50 -50 0.0
50000 117 73.9028                         -50 -50 0.0
55000 126 79.1516                         -50 -50 0.0
60000 126 84.4752                         -50 -50 0.0
65000 135 89.3892                         -50 -50 0.0
70000 135 94.0548                         -50 -50 0.0
75000 135 98.4346                         -50 -50 0.0
80000 140 102.5318                         -50 -50 0.0
85000 146 106.397                         -50 -50 0.0
90000 146 110.065                         -50 -50 0.0
95000 146 113.145                         -50 -50 0.0
100000 146 116.2546                         -50 -50 0.0
